quantity,turb,L1,L2,L3,delta_L1_L2,delta_L2_L3,ratio_L1L2L3,order_L1L2L3,asymptotic,basis,error_bar
cl,sst,0.276815,0.273147,0.272204,-0.003668,-0.000943,0.257,4.01,yes,L1L2L3,0.000943
cd,sst,0.018098,0.017646,0.017492,-0.000452,-0.000154,0.341,3.07,yes,L1L2L3,0.000154
cd_pressure,sst,0.012982,0.012505,0.012330,-0.000477,-0.000175,0.367,2.82,yes,L1L2L3,0.000175
cm_quarter_chord,sst,0.092103,0.089451,0.088580,-0.002652,-0.000871,0.328,3.19,yes,L1L2L3,0.000871
x_shock_upper_eta0.20,sst,0.648478,0.646069,0.644737,-0.002409,-0.001332,0.553,1.42,yes,L1L2L3,0.001332
cp_min_upper_eta0.20,sst,-0.933595,-0.944091,-0.956383,-0.010496,-0.012292,1.171,,no,L1L2L3,NONE (not asymptotic)
x_shock_upper_eta0.44,sst,0.574690,0.570977,0.567069,-0.003713,-0.003908,1.053,,no,L1L2L3,NONE (not asymptotic)
cp_min_upper_eta0.44,sst,-1.082716,-1.083744,-1.084735,-0.001028,-0.000991,0.964,,yes,L1L2L3,0.000991
x_shock_upper_eta0.65,sst,0.501225,0.495403,0.489794,-0.005822,-0.005609,0.963,,yes,L1L2L3,0.005609
cp_min_upper_eta0.65,sst,-1.124390,-1.124881,-1.125438,-0.000491,-0.000557,1.134,,no,L1L2L3,NONE (not asymptotic)
x_shock_upper_eta0.80,sst,0.403216,0.395601,0.387094,-0.007615,-0.008507,1.117,,no,L1L2L3,NONE (not asymptotic)
cp_min_upper_eta0.80,sst,-1.144498,-1.145145,-1.145614,-0.000647,-0.000469,0.725,0.49,yes,L1L2L3,0.000469
x_shock_upper_eta0.90,sst,0.317062,0.317466,0.315463,+0.000404,-0.002003,4.958,,no,L1L2L3,NONE (not asymptotic)
cp_min_upper_eta0.90,sst,-1.160509,-1.160975,-1.161111,-0.000466,-0.000136,0.292,3.59,yes,L1L2L3,0.000136
x_shock_upper_eta0.96,sst,0.275896,0.255200,0.246806,-0.020696,-0.008394,0.406,2.48,yes,L1L2L3,0.008394
cp_min_upper_eta0.96,sst,-1.197191,-1.200066,-1.200057,-0.002875,+0.000009,0.003,,yes,L1L2L3,0.000009
x_shock_upper_eta0.99,sst,0.494576,0.292847,0.277539,-0.201729,-0.015308,0.076,,no,L1L2L3,NONE (detector premise fails -- Cp*-grazing)
cp_min_upper_eta0.99,sst,-1.135739,-1.183308,-1.207769,-0.047569,-0.024461,0.514,1.67,yes,L1L2L3,0.024461
cl,sa,0.286999,0.282138,0.280566,-0.004861,-0.001572,0.323,3.24,yes,L1L2L3,0.001572
cd,sa,0.019141,0.018588,0.018373,-0.000553,-0.000215,0.389,2.62,yes,L1L2L3,0.000215
cd_pressure,sa,0.013424,0.012847,0.012626,-0.000577,-0.000221,0.383,2.67,yes,L1L2L3,0.000221
cm_quarter_chord,sa,0.098550,0.095022,0.093771,-0.003528,-0.001251,0.355,2.93,yes,L1L2L3,0.001251
x_shock_upper_eta0.20,sa,0.656014,0.652922,0.650989,-0.003092,-0.001933,0.625,1.00,yes,L1L2L3,0.001933
cp_min_upper_eta0.20,sa,-0.934543,-0.944917,-0.957320,-0.010374,-0.012403,1.196,,no,L1L2L3,NONE (not asymptotic)
x_shock_upper_eta0.44,sa,0.582991,0.576416,0.572722,-0.006575,-0.003694,0.562,1.37,yes,L1L2L3,0.003694
cp_min_upper_eta0.44,sa,-1.083702,-1.084598,-1.085570,-0.000896,-0.000972,1.085,,no,L1L2L3,NONE (not asymptotic)
x_shock_upper_eta0.65,sa,0.509688,0.501454,0.495910,-0.008234,-0.005544,0.673,0.75,yes,L1L2L3,0.005544
cp_min_upper_eta0.65,sa,-1.125617,-1.126008,-1.126531,-0.000391,-0.000523,1.338,,no,L1L2L3,NONE (not asymptotic)
x_shock_upper_eta0.80,sa,0.410941,0.400286,0.392123,-0.010655,-0.008163,0.766,0.30,yes,L1L2L3,0.008163
cp_min_upper_eta0.80,sa,-1.145961,-1.146558,-1.146913,-0.000597,-0.000355,0.595,1.17,yes,L1L2L3,0.000355
x_shock_upper_eta0.90,sa,0.316042,0.308229,0.304017,-0.007813,-0.004212,0.539,1.51,yes,L1L2L3,0.004212
cp_min_upper_eta0.90,sa,-1.162185,-1.162536,-1.162509,-0.000351,+0.000027,0.077,,yes,L1L2L3,0.000027
x_shock_upper_eta0.96,sa,0.276914,0.255029,0.246698,-0.021885,-0.008331,0.381,2.69,yes,L1L2L3,0.008331
cp_min_upper_eta0.96,sa,-1.198915,-1.201645,-1.201495,-0.002730,+0.000150,0.055,,yes,L1L2L3,0.000150
x_shock_upper_eta0.99,sa,0.504564,0.287266,0.277009,-0.217298,-0.010257,0.047,,no,L1L2L3,NONE (detector premise fails -- Cp*-grazing)
cp_min_upper_eta0.99,sa,-1.137814,-1.184356,-1.208963,-0.046542,-0.024607,0.529,1.57,yes,L1L2L3,0.024607
