level,turb,points,nj,nk,ni,n_tail,k_crit,basin_depth,mach,alpha_deg,re_root_chord,h1_wall,cl,cd,cd_pressure,cd_friction,cm_quarter_chord,cl_raw_sref1,cd_raw_sref1,s_ref_half_planform,wetted_area,resid_final,resid_decades,ncyc_fine,wall_s,yplus_wing_avg,yplus_wing_max,n_yplus_gt5_wing,n_pts_wing,yplus_te_base_avg,yplus_te_base_max,n_pts_te_base,yplus_tip_avg,yplus_aggregate_avg,n_yplus_gt5_all,n_pts_all,te_base_area_frac,te_base_cdv_share,te_base_cdp_share,note
L1,sst,901791,225,89,33,9,73,0.8240,0.8395,3.06,1.4620e+07,2.0982e-06,0.276815,0.018098,0.012982,0.005117,0.092103,0.320918,0.020982,1.15932,2.387431,9.345031e-08,1.81,1512,,0.6540,1.2000,0,4929,303.00,358.00,217,0.03550,12.200,217,5671,+0.071,+0.000,-3.027,"rans, alpha = experimental UNCORRECTED; grid normalised to root chord = 1; coefficients divided by the half-planform area (deck SREF = 1)"
L1,sa,901791,225,89,33,9,73,0.8240,0.8395,3.06,1.4620e+07,2.0982e-06,0.286999,0.019141,0.013424,0.005717,0.098550,0.332725,0.022190,1.15932,2.387431,5.604141e-08,2.04,1512,,0.6930,1.2600,0,4929,321.00,379.00,217,0.03560,12.900,217,5671,+0.071,+0.000,-3.229,"rans, alpha = experimental UNCORRECTED; grid normalised to root chord = 1; coefficients divided by the half-planform area (deck SREF = 1)"
L2,sst,2318999,329,109,45,17,89,0.8240,0.8395,3.06,1.4620e+07,2.0982e-06,0.273147,0.017646,0.012505,0.005142,0.089451,0.316665,0.020458,1.15932,2.387446,1.915860e-08,2.04,1512,,0.6470,1.2100,0,10277,231.00,280.00,645,0.03200,12.400,645,12587,+0.071,+0.000,-3.057,"rans, alpha = experimental UNCORRECTED; grid normalised to root chord = 1; coefficients divided by the half-planform area (deck SREF = 1)"
L2,sa,2318999,329,109,45,17,89,0.8240,0.8395,3.06,1.4620e+07,2.0982e-06,0.282138,0.018588,0.012847,0.005741,0.095022,0.327089,0.021549,1.15932,2.387446,1.604214e-08,2.12,1512,,0.6850,1.2600,0,10277,246.00,294.00,645,0.03230,13.200,645,12587,+0.071,+0.000,-3.274,"rans, alpha = experimental UNCORRECTED; grid normalised to root chord = 1; coefficients divided by the half-planform area (deck SREF = 1)"
L3,sst,5107279,441,129,61,25,105,0.8240,0.8395,3.06,1.4620e+07,2.0982e-06,0.272204,0.017492,0.012330,0.005162,0.088580,0.315573,0.020279,1.15932,2.387451,1.036403e-08,1.82,1512,,0.6470,1.2100,0,18821,191.00,238.00,1357,0.03140,11.500,1357,23559,+0.071,+0.000,-3.014,"rans, alpha = experimental UNCORRECTED; grid normalised to root chord = 1; coefficients divided by the half-planform area (deck SREF = 1)"
L3,sa,5107279,441,129,61,25,105,0.8240,0.8395,3.06,1.4620e+07,2.0982e-06,0.280566,0.018373,0.012626,0.005747,0.093771,0.325267,0.021300,1.15932,2.387451,1.059063e-08,1.80,1512,,0.6840,1.2700,0,18821,203.00,248.00,1357,0.03170,12.200,1357,23559,+0.071,+0.000,-3.221,"rans, alpha = experimental UNCORRECTED; grid normalised to root chord = 1; coefficients divided by the half-planform area (deck SREF = 1)"
