level,turb,eta_requested,eta_grid,surface,has_shock,x_shock,n_cells,monotone,cp_min,cp_pre_shock,cp_post_shock,cp_critical,upstream_depth,detector_premise
L2,sa,0.90,0.9000,lower,0,,0,1,-0.279247,,,-0.328154,,
L2,sa,0.96,0.9600,upper,1,0.255029,2,1,-1.201645,-0.869817,-0.184114,-0.328154,0.616089,ok
L2,sa,0.96,0.9600,lower,0,,0,1,-0.288826,,,-0.328154,,
L2,sa,0.99,0.9900,upper,1,0.287266,5,1,-1.184356,-0.454581,-0.298676,-0.328154,0.260987,ok
L2,sa,0.99,0.9900,lower,1,0.050293,11,1,-0.331115,0.607255,-0.296528,-0.328154,0.002961,"FAILS -- Cp*-grazing, not a shock position"
L3,sst,0.20,0.2000,upper,1,0.644737,4,1,-0.956383,-0.670934,-0.152608,-0.328154,0.363341,ok
L3,sst,0.20,0.2000,lower,0,,0,1,-0.273251,,,-0.328154,,
L3,sst,0.44,0.4400,upper,1,0.567069,3,1,-1.084735,-0.745340,-0.171335,-0.328154,0.423051,ok
L3,sst,0.44,0.4400,lower,0,,0,1,-0.276517,,,-0.328154,,
L3,sst,0.65,0.6500,upper,1,0.489794,2,1,-1.125438,-0.731252,-0.193846,-0.328154,0.408129,ok
L3,sst,0.65,0.6500,lower,0,,0,1,-0.285078,,,-0.328154,,
L3,sst,0.80,0.8000,upper,1,0.387094,3,1,-1.145614,-0.658201,-0.198265,-0.328154,0.361324,ok
L3,sst,0.80,0.8000,lower,0,,0,1,-0.298366,,,-0.328154,,
L3,sst,0.90,0.9000,upper,1,0.315463,6,1,-1.161111,-0.800434,-0.171065,-0.328154,0.696205,ok
L3,sst,0.90,0.9000,lower,0,,0,1,-0.290852,,,-0.328154,,
L3,sst,0.96,0.9600,upper,1,0.246806,4,1,-1.200057,-0.897191,-0.205124,-0.328154,0.685056,ok
L3,sst,0.96,0.9600,lower,0,,0,1,-0.307633,,,-0.328154,,
L3,sst,0.99,0.9900,upper,1,0.277539,6,1,-1.207769,-0.440230,-0.293259,-0.328154,0.213035,ok
L3,sst,0.99,0.9900,lower,1,0.144490,30,1,-0.360026,-0.331096,-0.302091,-0.328154,0.016082,"FAILS -- Cp*-grazing, not a shock position"
L3,sa,0.20,0.2000,upper,1,0.650989,3,1,-0.957320,-0.674665,-0.142903,-0.328154,0.365507,ok
L3,sa,0.20,0.2000,lower,0,,0,1,-0.269410,,,-0.328154,,
L3,sa,0.44,0.4400,upper,1,0.572722,2,1,-1.085570,-0.759223,-0.148155,-0.328154,0.431671,ok
L3,sa,0.44,0.4400,lower,0,,0,1,-0.271867,,,-0.328154,,
L3,sa,0.65,0.6500,upper,1,0.495910,2,1,-1.126531,-0.745365,-0.166985,-0.328154,0.417633,ok
L3,sa,0.65,0.6500,lower,0,,0,1,-0.279662,,,-0.328154,,
L3,sa,0.80,0.8000,upper,1,0.392123,3,1,-1.146913,-0.666637,-0.175374,-0.328154,0.338955,ok
L3,sa,0.80,0.8000,lower,0,,0,1,-0.292618,,,-0.328154,,
L3,sa,0.90,0.9000,upper,1,0.304017,3,1,-1.162509,-1.027730,-0.120787,-0.328154,0.702456,ok
L3,sa,0.90,0.9000,lower,0,,0,1,-0.287774,,,-0.328154,,
L3,sa,0.96,0.9600,upper,1,0.246698,2,1,-1.201495,-0.907218,-0.190629,-0.328154,0.689272,ok
L3,sa,0.96,0.9600,lower,0,,0,1,-0.305848,,,-0.328154,,
L3,sa,0.99,0.9900,upper,1,0.277009,5,1,-1.208963,-0.452527,-0.291273,-0.328154,0.247966,ok
L3,sa,0.99,0.9900,lower,1,0.139915,30,1,-0.357481,-0.330442,-0.305391,-0.328154,0.019752,"FAILS -- Cp*-grazing, not a shock position"
