level,n_tets,cl_KJ,converged,n_limited,n_floored,provenance
coarse_ss,46067,0.2015,1,0,0,cache:g133_coarse_ss.npz
medium,350718,0.2005,1,0,0,adopted:probe_vanish_smooth_rc0.05_medium_ffspan.npz
fine,2513255,0.2121,1,0,0,adopted:probe_vanish_smooth_rc0.05_fine_p9.npz
