x_c,surface,dstar_over_c,cf
0.000010,upper,4.100000e-05,6.249000e-03
0.000080,upper,4.100000e-05,7.287000e-03
0.000220,upper,4.200000e-05,8.250000e-03
0.000440,upper,4.300000e-05,9.084000e-03
0.000740,upper,4.500000e-05,9.739000e-03
0.001110,upper,4.700000e-05,1.022000e-02
0.001580,upper,4.900000e-05,1.048900e-02
0.002120,upper,5.200000e-05,1.059000e-02
0.002750,upper,5.500000e-05,1.051400e-02
0.003460,upper,5.800000e-05,1.031000e-02
0.004250,upper,6.200000e-05,9.992000e-03
0.005130,upper,6.700000e-05,9.604000e-03
0.006090,upper,7.100000e-05,9.154000e-03
0.007140,upper,7.600000e-05,8.685000e-03
0.008270,upper,8.100000e-05,8.193000e-03
0.009500,upper,8.700000e-05,7.706000e-03
0.010830,upper,9.300000e-05,7.228000e-03
0.012260,upper,9.900000e-05,6.761000e-03
0.013790,upper,1.050000e-04,6.320000e-03
0.015440,upper,1.120000e-04,5.896000e-03
0.017210,upper,1.190000e-04,5.496000e-03
0.019120,upper,1.270000e-04,5.123000e-03
0.021180,upper,1.340000e-04,4.770000e-03
0.023390,upper,1.420000e-04,4.441000e-03
0.025780,upper,1.510000e-04,4.135000e-03
0.028360,upper,1.600000e-04,3.849000e-03
0.031150,upper,1.690000e-04,3.583000e-03
0.034170,upper,1.790000e-04,3.338000e-03
0.037450,upper,1.890000e-04,3.114000e-03
0.041010,upper,1.990000e-04,2.914000e-03
0.044870,upper,2.100000e-04,2.748000e-03
0.049070,upper,2.190000e-04,2.656000e-03
0.053610,upper,2.170000e-04,3.271000e-03
0.058520,upper,1.970000e-04,5.351000e-03
0.063800,upper,1.910000e-04,6.756000e-03
0.069470,upper,2.010000e-04,7.750000e-03
0.075510,upper,2.210000e-04,7.853000e-03
0.081910,upper,2.470000e-04,7.607000e-03
0.088650,upper,2.750000e-04,7.304000e-03
0.095700,upper,3.040000e-04,7.024000e-03
0.103010,upper,3.330000e-04,6.783000e-03
0.110570,upper,3.620000e-04,6.577000e-03
0.118350,upper,3.920000e-04,6.398000e-03
0.126300,upper,4.210000e-04,6.240000e-03
0.134410,upper,4.510000e-04,6.097000e-03
0.142650,upper,4.810000e-04,5.967000e-03
0.151010,upper,5.120000e-04,5.847000e-03
0.159460,upper,5.420000e-04,5.734000e-03
0.168010,upper,5.730000e-04,5.628000e-03
0.176630,upper,6.040000e-04,5.528000e-03
0.185320,upper,6.350000e-04,5.432000e-03
0.194070,upper,6.660000e-04,5.341000e-03
0.202880,upper,6.970000e-04,5.254000e-03
0.211730,upper,7.290000e-04,5.171000e-03
0.220630,upper,7.610000e-04,5.091000e-03
0.229570,upper,7.930000e-04,5.014000e-03
0.238540,upper,8.250000e-04,4.939000e-03
0.247560,upper,8.570000e-04,4.868000e-03
0.256600,upper,8.900000e-04,4.798000e-03
0.265670,upper,9.220000e-04,4.731000e-03
0.274770,upper,9.550000e-04,4.666000e-03
0.283900,upper,9.880000e-04,4.603000e-03
0.293050,upper,1.022000e-03,4.542000e-03
0.302220,upper,1.055000e-03,4.482000e-03
0.311410,upper,1.089000e-03,4.424000e-03
0.320620,upper,1.123000e-03,4.368000e-03
0.329850,upper,1.157000e-03,4.313000e-03
0.339100,upper,1.191000e-03,4.260000e-03
0.348370,upper,1.226000e-03,4.208000e-03
0.357650,upper,1.261000e-03,4.157000e-03
0.366950,upper,1.296000e-03,4.108000e-03
0.376260,upper,1.331000e-03,4.059000e-03
0.385580,upper,1.366000e-03,4.012000e-03
0.394920,upper,1.402000e-03,3.965000e-03
0.404260,upper,1.438000e-03,3.920000e-03
0.413620,upper,1.474000e-03,3.876000e-03
0.422990,upper,1.510000e-03,3.832000e-03
0.432370,upper,1.547000e-03,3.790000e-03
0.441770,upper,1.584000e-03,3.748000e-03
0.451160,upper,1.621000e-03,3.707000e-03
0.460570,upper,1.658000e-03,3.667000e-03
0.469990,upper,1.696000e-03,3.628000e-03
0.479410,upper,1.734000e-03,3.589000e-03
0.488850,upper,1.772000e-03,3.551000e-03
0.498290,upper,1.811000e-03,3.514000e-03
0.507730,upper,1.849000e-03,3.477000e-03
0.517180,upper,1.888000e-03,3.441000e-03
0.526640,upper,1.928000e-03,3.406000e-03
0.536110,upper,1.967000e-03,3.370000e-03
0.545580,upper,2.007000e-03,3.336000e-03
0.555050,upper,2.048000e-03,3.302000e-03
0.564530,upper,2.088000e-03,3.268000e-03
0.574010,upper,2.129000e-03,3.235000e-03
0.583500,upper,2.171000e-03,3.202000e-03
0.592990,upper,2.213000e-03,3.169000e-03
0.602490,upper,2.255000e-03,3.137000e-03
0.611990,upper,2.298000e-03,3.105000e-03
0.621490,upper,2.341000e-03,3.073000e-03
0.631000,upper,2.384000e-03,3.041000e-03
0.640500,upper,2.429000e-03,3.010000e-03
0.650010,upper,2.474000e-03,2.978000e-03
0.659520,upper,2.519000e-03,2.947000e-03
0.669040,upper,2.565000e-03,2.916000e-03
0.678550,upper,2.612000e-03,2.884000e-03
0.688070,upper,2.660000e-03,2.853000e-03
0.697590,upper,2.708000e-03,2.822000e-03
0.707100,upper,2.758000e-03,2.790000e-03
0.716620,upper,2.808000e-03,2.758000e-03
0.726140,upper,2.859000e-03,2.726000e-03
0.735660,upper,2.912000e-03,2.694000e-03
0.745180,upper,2.966000e-03,2.661000e-03
0.754700,upper,3.021000e-03,2.628000e-03
0.764220,upper,3.078000e-03,2.594000e-03
0.773740,upper,3.137000e-03,2.560000e-03
0.783250,upper,3.198000e-03,2.525000e-03
0.792770,upper,3.261000e-03,2.489000e-03
0.802280,upper,3.326000e-03,2.452000e-03
0.811790,upper,3.394000e-03,2.415000e-03
0.821300,upper,3.465000e-03,2.376000e-03
0.830810,upper,3.539000e-03,2.335000e-03
0.840310,upper,3.617000e-03,2.293000e-03
0.849800,upper,3.700000e-03,2.250000e-03
0.859300,upper,3.788000e-03,2.205000e-03
0.868780,upper,3.881000e-03,2.157000e-03
0.878250,upper,3.981000e-03,2.107000e-03
0.887700,upper,4.089000e-03,2.054000e-03
0.897130,upper,4.206000e-03,1.999000e-03
0.906520,upper,4.333000e-03,1.940000e-03
0.915870,upper,4.473000e-03,1.877000e-03
0.925130,upper,4.627000e-03,1.811000e-03
0.934290,upper,4.797000e-03,1.740000e-03
0.943280,upper,4.987000e-03,1.665000e-03
0.952050,upper,5.197000e-03,1.586000e-03
0.960520,upper,5.430000e-03,1.503000e-03
0.968580,upper,5.687000e-03,1.418000e-03
0.976170,upper,5.965000e-03,1.332000e-03
0.983190,upper,6.264000e-03,1.247000e-03
0.989620,upper,6.575000e-03,1.164000e-03
0.995430,upper,6.902000e-03,1.085000e-03
1.000000,upper,7.131000e-03,1.034000e-03
0.000010,lower,4.100000e-05,5.138000e-03
0.000080,lower,4.100000e-05,4.050000e-03
0.000220,lower,4.100000e-05,2.866000e-03
0.000440,lower,4.100000e-05,1.748000e-03
0.000740,lower,4.300000e-05,6.230000e-04
0.001110,lower,4.300000e-05,4.020000e-04
0.001580,lower,4.500000e-05,1.316000e-03
0.002120,lower,4.600000e-05,2.149000e-03
0.002750,lower,4.800000e-05,2.812000e-03
0.003460,lower,5.100000e-05,3.397000e-03
0.004250,lower,5.300000e-05,3.830000e-03
0.005130,lower,5.600000e-05,4.184000e-03
0.006090,lower,5.900000e-05,4.429000e-03
0.007140,lower,6.200000e-05,4.605000e-03
0.008270,lower,6.500000e-05,4.709000e-03
0.009500,lower,6.900000e-05,4.761000e-03
0.010830,lower,7.300000e-05,4.768000e-03
0.012260,lower,7.700000e-05,4.737000e-03
0.013790,lower,8.100000e-05,4.680000e-03
0.015440,lower,8.600000e-05,4.598000e-03
0.017210,lower,9.100000e-05,4.500000e-03
0.019120,lower,9.500000e-05,4.388000e-03
0.021180,lower,1.010000e-04,4.265000e-03
0.023390,lower,1.060000e-04,4.136000e-03
0.025780,lower,1.120000e-04,4.001000e-03
0.028360,lower,1.180000e-04,3.862000e-03
0.031150,lower,1.250000e-04,3.721000e-03
0.034170,lower,1.310000e-04,3.580000e-03
0.037450,lower,1.380000e-04,3.440000e-03
0.041010,lower,1.460000e-04,3.301000e-03
0.044870,lower,1.540000e-04,3.170000e-03
0.049070,lower,1.610000e-04,3.059000e-03
0.053610,lower,1.650000e-04,3.307000e-03
0.058520,lower,1.560000e-04,4.775000e-03
0.063800,lower,1.570000e-04,5.699000e-03
0.069470,lower,1.690000e-04,5.655000e-03
0.075510,lower,1.850000e-04,5.407000e-03
0.081910,lower,2.010000e-04,5.407000e-03
0.088650,lower,2.210000e-04,5.438000e-03
0.095700,lower,2.420000e-04,5.383000e-03
0.103010,lower,2.640000e-04,5.299000e-03
