case,m_inf,re,alpha_deg,x_tr_upper,x_tr_lower,cl,cd,cm
xtr005,0.50,3.0000e+06,2.000,0.05,0.05,0.269100,9.260000e-03,0.001100
xtr030,0.50,3.0000e+06,2.000,0.30,0.30,0.275600,7.170000e-03,0.000200
