side,x,theta,H,ue,re_theta,H_star,Us,Ctau_eq,S_tr_ours,CT_xfoil,ratio,CTR_ours,CTR_implied
side_a,0.0537,7.9e-05,2.566,1.3297,315.1389,1.5671653669850507,0.14596746793040807,0.005750850705183655,0.016594287459709013,0.016615,0.9987533830700579,0.21882279573855265,0.21909592442722495
side_b,0.0537,6.8e-05,2.398,1.0143,206.9172,1.5902762975085314,0.17706579292526187,0.0050007757154719055,0.012012476340023925,0.012031,0.9984603391259185,0.16986889309566078,0.17013083688869307
