k,ds_max,ds_change_rel,mdot_max,ibl_n_iter,ibl_final_residual,cp_mean,cd_p
0,,,0.0,,,0.006753380994689602,8.374251464309465e-05
1,0.04019226560408262,inf,0.2581620757419081,100,2.3481622708812247e-05,0.006553393082676562,0.0003369663567699324
2,0.04710888416592112,0.212379733954445,0.2978470422634675,100,3.2668066450284795e-05,0.006493731457366482,0.00025758658075606707
3,0.04754820667460059,0.08010382156933497,0.284883682241419,100,3.265204483038883e-05,0.006488601379375156,0.00021737061216286336
4,0.04822276782550882,0.0981291087064386,0.2622780238603216,100,3.2097824912237796e-05,0.006483269682093264,0.00021895267654251723
5,0.04952928377931285,0.060482080863009456,0.27470400340069934,100,3.7666468693299586e-05,0.0064515721308737745,0.00021604737381190466
6,0.052052101549502225,0.15169542785100654,0.3462661946990838,100,5.214841009244647e-05,0.006440023507833298,0.00022348648317067825
7,0.05258845118489868,0.2173760058069592,0.5109221152911252,100,8.941004071464417e-05,0.006355416462651569,0.00023859162474814736
8,0.05354253446114213,0.09891535321839955,0.7149509194237256,72,0.00016722483025482553,0.006165658915173119,0.00028433059121075755
9,0.054361016707355256,0.35847920097647495,1.0199529102104568,100,0.0002881474410292504,0.005827623106754916,0.00035345254865683245
10,0.0560897768268549,0.7418935113353909,1.4680433855405346,100,0.0004679922839440783,0.005093775675186477,0.0004723753935281589
