iter,f_phi_max,f_gamma_max,f_bl_max,f_phi_scaled,f_gamma_scaled,f_bl_scaled,merit,lam,ds_change,ds_change_rel,wall_s
0,6.721364e-06,5.551115e-17,2.818693e-06,1.000000e+00,1.000000e+00,1.000000e+00,9.415172e-10,,0.000000e+00,0.000000e+00,0.01
1,7.126905e-06,5.551115e-17,3.214555e-06,1.060336e+00,1.000000e+00,1.140442e+00,7.458092e-10,0.125000,3.491121e-04,5.384185e-02,0.11
2,6.692143e-06,0.000000e+00,3.139033e-06,9.956526e-01,0.000000e+00,1.113648e+00,6.962489e-10,0.062500,5.713244e-04,8.811257e-02,0.22
3,6.685631e-06,2.775558e-17,3.154973e-06,9.946837e-01,5.000000e-01,1.119304e+00,6.956119e-10,0.000977,2.106045e-05,3.248050e-03,0.36
4,2.578776e-06,0.000000e+00,4.951385e-06,3.836685e-01,0.000000e+00,1.756625e+00,5.641778e-10,0.500000,1.035190e-03,1.596524e-01,0.45
5,2.555938e-06,1.110223e-16,4.915909e-06,3.802707e-01,2.000000e+00,1.744039e+00,5.573846e-10,0.007812,4.158935e-05,6.414123e-03,0.58
6,2.550713e-06,1.387779e-16,4.922309e-06,3.794934e-01,2.500000e+00,1.746309e+00,5.570499e-10,0.001953,1.656335e-05,2.554485e-03,0.71
7,2.680239e-06,1.942890e-16,4.842047e-06,3.987641e-01,3.500000e+00,1.717834e+00,5.514895e-10,0.062500,1.656860e-04,2.555295e-02,0.82
8,2.673631e-06,2.498002e-16,4.822967e-06,3.977810e-01,4.500000e+00,1.711065e+00,5.503410e-10,0.003906,1.997866e-04,3.081211e-02,0.95
9,2.628883e-06,1.942890e-16,4.744835e-06,3.911234e-01,3.500000e+00,1.683346e+00,5.286749e-10,0.015625,1.213377e-04,1.871332e-02,1.08
10,2.618544e-06,1.387779e-16,4.726291e-06,3.895852e-01,2.500000e+00,1.676767e+00,5.276918e-10,0.003906,7.314847e-05,1.128133e-02,1.22
