k,cl_committed,cl_regen,ds_max_committed,ds_max_regen,ibl_n_iter_committed,ibl_n_iter_regen
0,0.27758976747099867,0.2775897674725573,,,,
1,0.2678652942313099,0.2678314773037695,0.004572735492141916,0.004579112264009847,34,38
2,0.2679998963620529,0.2679444426319753,0.004583064990448498,0.004589108029427657,100,100
3,0.2677516527062038,0.2679150310068181,0.004602137240689448,0.004589833884652537,100,77
4,0.26776442847776416,0.2679163863019001,0.0046022354270675745,0.004589919481280615,20,30
