case,level,n_threads,x_tr,cp_rms_upper_sst,cp_rms_upper_sa,cp_rms_lower_sst,cp_rms_lower_sa,cp_band_width_upper,cl,cl_sst,cl_sa,band_lo,band_hi,rel_to_band,n_outer,converged
xtr005,coarse,8,0.05,1.203092747e-01,1.236284719e-01,4.820195465e-02,4.556268057e-02,4.172600000e-02,2.752981029e-01,0.250067,0.256830,0.250067,0.256830,+7.190789e-02,3,1
xtr005,medium,8,0.05,4.107251926e-02,4.112051967e-02,2.807993485e-02,2.481446174e-02,4.172600000e-02,2.806003965e-01,0.250067,0.256830,0.250067,0.256830,+9.255304e-02,4,1
xtr030,coarse,8,0.3,1.355946280e-01,1.384067648e-01,3.943693454e-02,3.829759114e-02,4.521300000e-02,2.561607401e-01,0.261258,0.265778,0.261258,0.265778,-1.951045e-02,10,1
xtr030,medium,8,0.3,5.013974891e-02,5.267711897e-02,1.755994516e-02,1.667255844e-02,4.521300000e-02,2.570328826e-01,0.261258,0.265778,0.261258,0.265778,-1.617220e-02,7,1
