i,residual,gamma_mean,gamma_root,n_limited,n_floored,frozen,n_lin_solves,lam,t_seed,t_assembly,t_precond,t_linsolve,t_residual,t_kutta,n_lin_iters,n_refactor,wall_cum_s
0,5.507e-05,0.16633545,0.16633545,0,0,False,1,0.25,0.0,0.12591309,0.0,0.03735707,0.01012313,0.00043139,0,0,7.51304923
1,0.00033078,0.17638717,0.17638717,0,0,False,1,1.0,0.0,0.06630857,0.0,0.03777319,0.00439505,0.00020478,0,0,7.62199397
2,0.00191876,0.21320118,0.21320118,0,0,False,1,1.0,0.0,0.06462855,0.0,0.03817165,0.00435562,0.00020747,0,0,7.72962005
3,0.00101496,0.22865906,0.22865906,0,0,False,1,1.0,0.0,0.06641425,0.0,0.03881571,0.00422808,0.00021913,0,0,7.83955286
4,0.00044972,0.23521185,0.23521185,0,2,False,1,0.5,0.0,0.08384589,0.0,0.03881226,0.00617457,0.00028603,0,0,7.96898023
5,0.00031189,0.23694974,0.23694974,0,0,False,1,1.0,0.0,0.06264889,0.0,0.03770161,0.00410336,0.00019426,0,0,8.0738504
6,0.00013265,0.23978956,0.23978956,0,0,False,1,1.0,0.0,0.06809291,0.0,0.03820484,0.00413614,0.00022314,0,0,8.18473328
7,4.861e-05,0.24110284,0.24110284,0,0,False,1,1.0,0.0,0.06868551,0.0,0.0384653,0.00426229,0.00020453,0,0,8.29659522
8,1.531e-05,0.24159551,0.24159551,0,0,False,1,1.0,0.0,0.06358299,0.0,0.0379413,0.00412386,0.00020652,0,0,8.40267911
9,3.64e-06,0.24172079,0.24172079,0,0,False,1,1.0,0.0,0.06922204,0.0,0.03810227,0.00437101,0.00022856,0,0,8.51487646
10,8.2e-07,0.24174908,0.24174908,0,0,False,1,1.0,0.0,0.08726561,0.0,0.03848315,0.00481309,0.00027827,0,0,8.64718316
11,1.8e-07,0.2417554,0.2417554,0,0,True,1,1.0,0.0,0.068171,0.0,0.03785414,0.00317836,0.00020518,0,0,8.75682004
12,4e-08,0.24175681,0.24175681,0,0,True,1,1.0,0.0,0.06871739,0.0,0.03885089,0.00318183,0.0002193,0,0,8.86801907
13,1e-08,0.24175712,0.24175712,0,0,True,1,1.0,0.0,0.06813379,0.0,0.03866225,0.00314479,0.0001966,0,0,8.97839268
14,0.0,0.24175719,0.24175719,0,0,True,1,1.0,0.0,0.06769361,0.0,0.03808833,0.00316539,0.00019364,0,0,9.08776064
15,0.0,0.24175721,0.24175721,0,0,True,1,1.0,0.0,0.06741728,0.0,0.03853031,0.00322192,0.00020409,0,0,9.19736124
16,0.0,0.24175721,0.24175721,0,0,True,1,1.0,0.0,0.06706918,0.0,0.03817171,0.00323746,0.00019749,0,0,9.30627763
17,0.0,0.24175721,0.24175721,0,0,True,0,,0.0,0.02070237,0.0,0.0,0.00210858,7.913e-05,0,0,9.33039211
