i,residual,drho,dgamma,gamma_mean,gamma_root,n_lin_solves,n_lin_iters,n_refactor,n_limited,n_floored,wall_cum_s,t_seed,t_assembly,t_precond,t_linsolve,t_residual,t_kutta
149,6.921e-05,0.01938258,0.00109181,0.18815554,0.18815554,1,0,0,0,0,13.94215135,0.0,0.02651782,0.0,0.03475625,0.00192608,5.67e-05
150,6.911e-05,0.01914588,0.0010918,0.18870144,0.18870144,1,0,0,0,0,14.008237,0.0,0.02976525,0.0,0.03432051,0.00191455,5.383e-05
151,6.9e-05,0.01934423,0.00108896,0.18924592,0.18924592,1,0,0,0,0,14.07475173,0.0,0.02930106,0.0,0.03516896,0.00195965,5.473e-05
152,6.888e-05,0.01905687,0.00107306,0.18978245,0.18978245,1,0,0,0,0,14.13979774,0.0,0.02951221,0.0,0.03360343,0.00184908,5.077e-05
153,6.868e-05,0.01959335,0.00109344,0.19032918,0.19032918,1,0,0,0,0,14.20471509,0.0,0.02870148,0.0,0.03428231,0.00185472,5.061e-05
154,6.853e-05,0.02071064,0.00111082,0.19088458,0.19088458,1,0,0,0,0,14.26924022,0.0,0.02852832,0.0,0.03399236,0.00191496,5.867e-05
155,6.836e-05,0.0229262,0.00110488,0.19143703,0.19143703,1,0,0,0,0,14.33615815,0.0,0.02946236,0.0,0.03536449,0.00197951,7.829e-05
156,6.814e-05,0.02358109,0.00111101,0.19199253,0.19199253,1,0,0,0,0,14.40296686,0.0,0.02958097,0.0,0.0351714,0.00195901,6.102e-05
157,6.794e-05,0.02482226,0.00110568,0.19254537,0.19254537,1,0,0,0,0,14.46890982,0.0,0.02908022,0.0,0.03480528,0.00195055,7.107e-05
158,6.769e-05,0.02576692,0.00109832,0.19309453,0.19309453,1,0,0,0,0,14.53564107,0.0,0.02964095,0.0,0.03507154,0.00193524,5.225e-05
159,6.744e-05,0.02641879,0.00109541,0.19364223,0.19364223,1,0,0,0,0,14.6020554,0.0,0.02970004,0.0,0.03474042,0.00188434,5.886e-05
160,6.72e-05,0.02672759,0.00110264,0.19419356,0.19419356,1,0,0,0,0,14.66785211,0.0,0.02906729,0.0,0.03479777,0.00185191,5.07e-05
161,6.696e-05,0.02789291,0.00110292,0.19474501,0.19474501,1,0,0,0,0,14.7326899,0.0,0.02867817,0.0,0.03425379,0.00182612,5.056e-05
162,6.672e-05,0.02871424,0.00109658,0.1952933,0.1952933,1,0,0,0,0,14.79761478,0.0,0.02859885,0.0,0.03442544,0.00182141,5.119e-05
