i,residual,F,gamma_mean,gamma_root,n_limited,n_floored,frozen,n_lin_solves,eta,lam,t_seed,t_assembly,t_precond,t_linsolve,t_residual,t_kutta,n_lin_iters,n_refactor,wall_cum_s
0,1.16e-06,1e-08,0.08668617,0.08668617,0,0,False,1,0.01,1.0,0.0,0.01096861,0.01539827,0.25100332,0.00181861,0.0,164,0,2.19972857
1,1e-08,0.0,0.08689375,0.08689375,0,0,False,1,3.55e-05,1.0,0.0,0.00513413,1.33e-06,0.43552581,0.00179292,0.0,282,0,2.64243337
2,0.0,0.0,0.0868938,0.0868938,0,0,False,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.64246573
