i,residual,F,gamma_mean,gamma_root,n_limited,n_floored,frozen,n_lin_solves,eta,lam,t_seed,t_assembly,t_precond,t_linsolve,t_residual,t_kutta,n_lin_iters,n_refactor,wall_cum_s
0,5.016e-05,0.0,0.16360817,0.16360817,0,0,False,1,0.0,0.25,0.0,0.00628629,0.02853223,0.00155584,0.00468753,0.0,0,1,3.83019469
1,4.016e-05,0.0,0.1750301,0.1750301,0,0,False,1,0.0,0.25,0.0,0.00644945,0.02847428,0.00159619,0.00474033,0.0,0,1,3.87160702
2,4.111e-05,0.0,0.18512097,0.18512097,0,0,False,1,0.0,0.25,0.0,0.00631189,0.02772206,0.00152535,0.00466212,0.0,0,1,3.91201943
3,2.483e-05,0.0,0.19408788,0.19408788,0,0,False,1,0.0,0.25,0.0,0.0062597,0.02874362,0.00162727,0.004737,0.0,0,1,3.95355713
4,2.099e-05,0.0,0.20204237,0.20204237,0,0,False,1,0.0,0.25,0.0,0.00645592,0.02773201,0.00176557,0.00489209,0.0,0,1,3.99456878
5,1.371e-05,0.0,0.20870799,0.20870799,0,0,False,1,0.0,0.25,0.0,0.00659872,0.02768493,0.00156847,0.00471364,0.0,0,1,4.03528907
6,2.139e-05,0.0,0.21421654,0.21421654,0,0,False,1,0.0,0.5,0.0,0.00628649,0.02764132,0.00154879,0.00283211,0.0,0,1,4.07391584
7,2.121e-05,0.0,0.22280967,0.22280967,0,0,True,1,0.0,1.0,0.0,0.00629865,0.02766499,0.00154877,0.00142557,0.0,0,1,4.11100113
8,2.324e-05,0.0,0.23228927,0.23228927,0,0,True,1,0.0,1.0,0.0,0.00622198,0.02803173,0.00156618,0.00150094,0.0,0,1,4.14845019
9,3.28e-06,0.0,0.23262097,0.23262097,0,0,True,1,0.0,1.0,0.0,0.00642573,0.02734999,0.00165268,0.00156469,0.0,0,1,4.1855703
10,7.4e-07,0.0,0.23264176,0.23264176,0,0,True,1,0.0,1.0,0.0,0.00639694,0.02708939,0.00167447,0.0015259,0.0,0,1,4.22240048
11,8e-08,0.0,0.23264637,0.23264637,0,0,True,1,0.0,1.0,0.0,0.00647395,0.02745628,0.00181762,0.00161589,0.0,0,1,4.25990371
12,0.0,0.0,0.23264697,0.23264697,0,0,True,1,0.0,1.0,0.0,0.00674927,0.02739352,0.00195011,0.00163755,0.0,0,1,4.29777973
13,0.0,0.0,0.23264698,0.23264698,0,0,True,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.29972134
14,0.00013541,0.0,0.23264698,0.23264698,0,0,True,1,0.0,1.0,0.0,0.0065435,0.02705754,0.00160526,0.00151793,0.0,0,1,4.33656721
15,1.624e-05,0.0,0.23339255,0.23339255,0,0,True,1,0.0,1.0,0.0,0.00639174,0.02771394,0.0015358,0.00143737,0.0,0,1,4.3737661
16,1.15e-06,0.0,0.23354468,0.23354468,0,0,True,1,0.0,1.0,0.0,0.00631385,0.02727013,0.00156955,0.00142824,0.0,0,1,4.41046335
17,1e-08,0.0,0.23354653,0.23354653,0,0,True,1,0.0,1.0,0.0,0.00633159,0.02694935,0.00149156,0.00140449,0.0,0,1,4.44675636
18,0.0,0.0,0.23354651,0.23354651,0,0,True,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.44860112
19,3.976e-05,0.0,0.23354651,0.23354651,0,0,True,1,0.0,1.0,0.0,0.00629164,0.02793759,0.00149221,0.00142902,0.0,0,1,4.48585544
20,3.65e-06,0.0,0.23378878,0.23378878,0,0,True,1,0.0,1.0,0.0,0.00623941,0.02742621,0.00148161,0.00139873,0.0,0,1,4.52250877
21,1.3e-07,0.0,0.23381318,0.23381318,0,0,True,1,0.0,1.0,0.0,0.00624195,0.02783693,0.00144366,0.00142193,0.0,0,1,4.55956251
22,0.0,0.0,0.23381353,0.23381353,0,0,True,1,0.0,1.0,0.0,0.00630564,0.02717769,0.00146746,0.00142453,0.0,0,1,4.59604531
23,0.0,0.0,0.23381353,0.23381353,0,0,True,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.59787775
24,6.45e-06,0.0,0.23381353,0.23381353,0,0,True,1,0.0,1.0,0.0,0.00627391,0.02704515,0.00145608,0.00141524,0.0,0,1,4.63417155
25,1.7e-07,0.0,0.23382603,0.23382603,0,0,True,1,0.0,1.0,0.0,0.00615901,0.02764873,0.00163773,0.00144701,0.0,0,1,4.67116384
26,0.0,0.0,0.23382646,0.23382646,0,0,True,1,0.0,1.0,0.0,0.00619147,0.0280919,0.00146118,0.00141471,0.0,0,1,4.70844059
27,0.0,0.0,0.23382646,0.23382646,0,0,True,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.71023447
