mesh,n_tet,n_node,n_wall,n_wall_tip,n_wall_nontip,converged,res_final,n_newton,n_limited,n_floored,failure_mode,failure_evidence,solve_s,cl_p,cl_kj,m_max,leg
coarse.msh,68624,15550,6890,2013,4877,True,4.579464238968384e-13,14,0,0,,,7.6,0.2681146118868254,0.27358222107189994,2.780267572606643,R_round
coarse_flat.msh,55531,12978,5152,280,4872,True,6.904666250142438e-12,14,0,0,,,6.1,0.2621230003303853,0.26815904766026594,1.3872197811669706,F_flat
