geom,path,alpha,level,h_wall,n_nodes,status,converged,res_final,m_max,cl_p,cd_p,sawtooth,wall_s,note
wingbody,conforming,3.06,coarse,0.03,21625,OK,True,6.049322830112234e-11,0.82909,0.20647389,0.013415434904887537,0.15314529306598018,2.7,
wingbody,conforming,3.06,medium,0.015,135051,OK,True,1.991524905463582e-11,1.01508,0.21404904,0.006743323756224955,0.1359212886536069,49.6,
wingbody,level-set,0.0,xcoarse,0.044,5571,OK,True,2.849986913133762e-11,0.60832,0.00016141,0.016363996952276666,0.10434998897646695,2.5,
wingbody,level-set,0.0,coarse,0.03,14154,OK,True,2.445688096486265e-11,0.64156,-0.00048788,0.012477902116619598,0.14705860399722012,10.0,
wingbody,level-set,0.0,medium,0.015,101914,OK,True,9.877210160880168e-11,0.65712,5.454e-05,0.004930773468236997,0.11334495751689008,130.0,
wingbody,level-set,1.0,xcoarse,0.044,5571,OK,True,5.483968834596453e-11,0.64352,0.06503969,0.016808139240443717,0.10689864039624518,2.8,
wingbody,level-set,1.0,coarse,0.03,14154,OK,True,5.347544629330514e-11,0.66834,0.06694064,0.012934480753139525,0.16322470589446852,11.6,
wingbody,level-set,1.0,medium,0.015,101914,OK,True,2.6915358830592595e-11,0.70102,0.07026904,0.0052968701456248025,0.1273683313420786,139.6,
wingbody,level-set,2.0,xcoarse,0.044,5571,OK,True,8.108003157758503e-11,0.93052,0.12983518,0.018256559764909575,0.10798765107218908,2.9,
wingbody,level-set,2.0,coarse,0.03,14154,OK,True,3.574029960873304e-11,0.9287,0.1343689,0.014274895088536105,0.1785985339746278,12.6,
wingbody,level-set,2.0,medium,0.015,101914,OK,True,9.236345022145542e-11,1.11531,0.14049558,0.006385035573532231,0.14216956255087307,147.6,
wingbody,level-set,3.06,xcoarse,0.044,5571,OK,True,2.6965096822095802e-11,1.28271,0.1984433,0.020886257781148426,0.10781793149076406,3.1,
wingbody,level-set,3.06,coarse,0.03,14154,OK,True,9.679723689259845e-11,1.29795,0.2058071,0.016654233095595616,0.19436574800955145,13.1,
wingbody,level-set,3.06,medium,0.015,101914,OK,True,2.2353674467012752e-11,1.50249,0.21493075,0.008321387592162787,0.1589468606152878,169.5,
naca2.5d,conforming,0.0,xcoarse,0.04,1676,NOT_CONVERGED,False,1.5439318558389572e-11,0.62803,0.00236096,0.008153983134674043,0.1376059963706495,0.4,
naca2.5d,conforming,0.0,coarse,0.02,6106,OK,True,2.370558943709079e-11,0.6193,5.077e-05,0.0042694376245860635,0.08708528464587675,1.8,
naca2.5d,conforming,0.0,medium,0.01,21874,OK,True,1.951276132979547e-11,0.62003,0.00096392,0.0013456605617126374,0.055059879770109184,6.3,
naca2.5d,conforming,1.25,xcoarse,0.04,1676,OK,True,1.2083163626510374e-11,0.69087,0.16412326,0.008955794816207025,0.153464192990149,0.5,
naca2.5d,conforming,1.25,coarse,0.02,6106,OK,True,2.6934103352320752e-11,0.68001,0.1733993,0.004565914951539846,0.10202109715472055,2.0,
naca2.5d,conforming,1.25,medium,0.01,21874,OK,True,2.5614136578327367e-11,0.67597,0.17796675,0.0014291414974545434,0.0666010502112192,6.8,
