C,D,arm,geom,k_coh,k_pos,m_inf,n_j1,state,status,sup_frac
0.1284,0.06554,P0,wing,P2,P3,0.76,7,W M0.76,OK,0.01077
0.2639,0.02719,P1,wing,P2,P3,0.76,7,W M0.76,OK,0.01077
0.3378,0.02886,P2,wing,P2,P3,0.76,7,W M0.76,OK,0.01077
0.2415,0.0137,P3,wing,P2,P3,0.76,7,W M0.76,OK,0.01077
,0.01863,S1,wing,P2,P3,0.76,7,W M0.76,OK,0.01077
,0.02173,S2,wing,P2,P3,0.76,7,W M0.76,OK,0.01077
,0.01674,S3,wing,P2,P3,0.76,7,W M0.76,OK,0.01077
0.0721,0.02535,P0,wing,P1,P1,0.78,7,W M0.78,OK,0.02308
0.3051,0.01853,P1,wing,P1,P1,0.78,7,W M0.78,OK,0.02308
0.2165,0.02888,P2,wing,P1,P1,0.78,7,W M0.78,OK,0.02308
0.1417,0.03023,P3,wing,P1,P1,0.78,7,W M0.78,OK,0.02308
,0.03525,S1,wing,P1,P1,0.78,7,W M0.78,OK,0.02308
,0.03358,S2,wing,P1,P1,0.78,7,W M0.78,OK,0.02308
,0.03023,S3,wing,P1,P1,0.78,7,W M0.78,OK,0.02308
0.1061,0.0152,P0,wing,P2,P1,0.8,7,W M0.80,OK,0.0529
0.257,0.00905,P1,wing,P2,P1,0.8,7,W M0.80,OK,0.0529
0.2682,0.01531,P2,wing,P2,P1,0.8,7,W M0.80,OK,0.0529
0.1361,0.01239,P3,wing,P2,P1,0.8,7,W M0.80,OK,0.0529
,0.00955,S1,wing,P2,P1,0.8,7,W M0.80,OK,0.0529
,0.00955,S2,wing,P2,P1,0.8,7,W M0.80,OK,0.0529
,0.00814,S3,wing,P2,P1,0.8,7,W M0.80,OK,0.0529
0.1024,0.03692,P0,wing,P1,P3,0.82,7,W M0.82,OK,0.0873
0.3015,0.00615,P1,wing,P1,P3,0.82,7,W M0.82,OK,0.0873
0.224,0.00642,P2,wing,P1,P3,0.82,7,W M0.82,OK,0.0873
0.1691,0.00389,P3,wing,P1,P3,0.82,7,W M0.82,OK,0.0873
,0.01307,S1,wing,P1,P3,0.82,7,W M0.82,OK,0.0873
,0.00615,S2,wing,P1,P3,0.82,7,W M0.82,OK,0.0873
,0.01119,S3,wing,P1,P3,0.82,7,W M0.82,OK,0.0873
0.1676,0.01321,P0,wing,P1,P2,0.8395,7,W M0.8395,OK,0.12299
0.4213,0.01689,P1,wing,P1,P2,0.8395,7,W M0.8395,OK,0.12299
0.3126,0.0055,P2,wing,P1,P2,0.8395,7,W M0.8395,OK,0.12299
0.2045,0.0055,P3,wing,P1,P2,0.8395,7,W M0.8395,OK,0.12299
,0.01302,S1,wing,P1,P2,0.8395,7,W M0.8395,OK,0.12299
,0.01321,S2,wing,P1,P2,0.8395,7,W M0.8395,OK,0.12299
,0.01321,S3,wing,P1,P2,0.8395,7,W M0.8395,OK,0.12299
0.2201,0.01405,P0,wing,P1,P1,0.86,7,W M0.86,OK,0.16711
0.5036,0.00451,P1,wing,P1,P1,0.86,7,W M0.86,OK,0.16711
0.3487,0.00451,P2,wing,P1,P1,0.86,7,W M0.86,OK,0.16711
0.2569,0.00451,P3,wing,P1,P1,0.86,7,W M0.86,OK,0.16711
,0.00451,S1,wing,P1,P1,0.86,7,W M0.86,OK,0.16711
,0.00451,S2,wing,P1,P1,0.86,7,W M0.86,OK,0.16711
,0.00451,S3,wing,P1,P1,0.86,7,W M0.86,OK,0.16711
0.2064,0.01203,P0,wing,P1,P1,0.88,7,W M0.88,OK,0.2333
0.4819,0.00227,P1,wing,P1,P1,0.88,7,W M0.88,OK,0.2333
0.3689,0.01203,P2,wing,P1,P1,0.88,7,W M0.88,OK,0.2333
0.2448,0.00227,P3,wing,P1,P1,0.88,7,W M0.88,OK,0.2333
,0.00227,S1,wing,P1,P1,0.88,7,W M0.88,OK,0.2333
,0.00285,S2,wing,P1,P1,0.88,7,W M0.88,OK,0.2333
,0.01516,S3,wing,P1,P1,0.88,7,W M0.88,OK,0.2333
0.0574,0.02448,P0,wingbody,P1,P3,0.78,7,WB M0.78,OK,0.01202
0.1435,0.02448,P1,wingbody,P1,P3,0.78,7,WB M0.78,OK,0.01202
0.1336,0.03121,P2,wingbody,P1,P3,0.78,7,WB M0.78,OK,0.01202
0.0299,0.01711,P3,wingbody,P1,P3,0.78,7,WB M0.78,OK,0.01202
,0.01879,S1,wingbody,P1,P3,0.78,7,WB M0.78,OK,0.01202
,0.02454,S2,wingbody,P1,P3,0.78,7,WB M0.78,OK,0.01202
,0.02976,S3,wingbody,P1,P3,0.78,7,WB M0.78,OK,0.01202
0.1136,0.02496,P0,wingbody,P2,P2,0.82,7,WB M0.82,OK,0.04755
