level,h_wall,n_node_surf,n_tri,bl_unknowns,n_tet,ibl_ok,ibl_s,inviscid_s,p1_ratio,n_outer,ibl_converged,a_mag,b_mag,p2_ratio,p2_median,p2_p90,p2_max,n_live,n_tip_masked
S2,0.03,3557,6882,21342,59359,True,136.75,13.4,10.205007513880568,1,False,279.8866374884229,41.168905522406135,0.1470913577433972,0.008414735076023208,0.0881175486879258,1.584294768209948,2575,982
S4,0.015,13764,27068,82584,448197,True,914.62,150.6,6.073161481992048,1,False,201.0354279301966,3.7316457764349726,0.018562130142208928,0.0002933366032367078,0.0019337262157863827,0.03149854741563156,9814,3950
S2r,0.03,3557,6882,21342,59359,True,134.95,13.4,10.07115675216374,1,False,279.8866374884229,41.168905522406135,0.1470913577433972,0.008414735076023208,0.0881175486879258,1.584294768209948,2575,982
