leg,r_c,entropy,upwind_c,converged,m_attained,n_limited,n_floored,nu_max,n_nu_active,mach2_max,res_final,cl_p,wall_s,note
ref_entropyON_c1.5,,True,1.5,True,0.84,0,0,1.2893348390279056,106348,6.426074409993797,2.0697183506900373e-14,0.2767849025229606,430.6,
ref_entropyOFF_c1.5,,False,1.5,False,0.84,0,0,1.2585807719314155,48690,5.60746553135119,7.2729359661018046e-06,0.25751490610580763,1320.0,
entropyOFF_c2.0,,False,2.0,False,0.84,0,1,1.5570371890094872,49072,4.074834173920435,6.965963892712772e-05,0.25720828035474136,1288.7,
entropyOFF_c3.0,,False,3.0,False,0.84,0,1,1.946825143712353,2498,2.5707981764241037,3.1742284270760504e-06,0.22837373465043725,1143.0,
taperON_entropyOFF,0.05,False,1.5,True,0.84,0,0,1.2053364124903205,105409,4.594222216056912,1.5882212769879095e-14,0.2737833166344283,359.0,
