case,theta,seed,converged,res_final,n_limited,n_floored,failure_mode,m_max,x_shock,cl_p,sigma_min,n_shock_cells,n_newton,threads,wall_s
hybrid_R0,0.0,0,True,1.1977729730607452e-11,0,0,,1.3854,0.5605566537204112,0.35954667641570387,1.0,147,77,8,4.6
hybrid_R0,0.0,5,True,1.1960241394929015e-11,0,0,,1.38549,0.5605704949369835,0.3595842195381131,1.0,144,32,8,3.3
hybrid_R0,0.0,12,True,1.3040433957209552e-13,0,0,,1.38583,0.5605459644181818,0.3595367558322764,1.0,147,79,8,7.6
hybrid_R0,0.25,0,True,1.0466048038217512e-11,0,0,,1.38016,0.54596337262103,0.34765093901229016,0.9891369307547297,148,54,8,3.2
hybrid_R0,0.25,5,True,3.493279998297648e-12,0,0,,1.38207,0.5466595787210393,0.35183601387581226,0.992138269155068,148,26,8,3.2
hybrid_R0,0.25,12,True,7.469810950526743e-13,0,0,,1.38218,0.5471470180185172,0.3525338129111869,0.9944660299782089,148,18,8,4.6
hybrid_R0,0.5,0,True,1.5315179057969018e-13,0,0,,1.3395,0.6216244253918107,0.27271941371338565,0.8890099496703837,144,72,8,8.2
hybrid_R0,0.5,5,True,1.2172173734776941e-13,0,0,,1.37947,0.5436238120813253,0.34679558256495846,0.989074149179541,149,25,8,3.2
hybrid_R0,0.5,12,True,1.2156537147899426e-13,0,0,,1.37917,0.5432777083589286,0.3454638705201102,0.9889163765180196,148,24,8,5.0
hybrid_R0,0.75,0,False,5.053955658525853e-07,0,0,limit_cycle,1.3562,0.5649625418305646,0.2953930228345869,0.9291199021557797,147,80,8,4.8
hybrid_R0,0.75,5,True,9.034757320235272e-14,0,0,,1.37089,0.5238036466742211,0.3277834071384702,0.9697566900885998,152,27,8,3.2
hybrid_R0,0.75,12,True,2.2495735055310672e-13,0,0,,1.37904,0.5472468687526353,0.3508156008763789,0.9617083617588167,181,37,8,5.7
hybrid_R0,1.0,0,True,1.2776876278769266e-13,0,0,,1.39873,0.7140866212755519,0.26136660393520345,0.7431680620675367,153,48,8,4.5
hybrid_R0,1.0,5,True,9.45577175714882e-14,0,0,,1.33286,0.6050839087194283,0.25822257846600266,0.7858545933688468,176,31,8,3.7
hybrid_R0,1.0,12,True,3.264176358110929e-11,0,0,,1.38169,0.5457863792675912,0.35146662521990407,0.9874183427010786,159,37,8,6.2
unstr_coarse,0.0,0,True,1.1653252551907464e-11,0,0,,1.40767,0.6580819807507275,0.4589941824625458,1.0,82,34,8,0.9
unstr_coarse,0.0,5,True,5.460593772158419e-12,0,0,,1.40765,0.6580805932801961,0.4589742564811972,1.0,83,35,8,2.7
unstr_coarse,0.0,12,True,3.679987447714666e-13,0,0,,1.40767,0.6580819810558677,0.4589941825456528,1.0,113,21,8,5.3
unstr_coarse,0.25,0,True,3.4841770980986803e-13,0,0,,1.40271,0.6422159562329959,0.44074280838985963,0.9833604771463862,82,38,8,0.9
unstr_coarse,0.25,5,True,4.462863377939944e-13,0,0,,1.40275,0.641492129428459,0.4403234569318212,0.991531040182265,81,37,8,2.7
unstr_coarse,0.25,12,True,5.541186248370051e-12,0,0,,1.38438,0.6024738157380315,0.3751977681918668,0.9805602120478825,92,22,8,5.2
unstr_coarse,0.5,0,True,2.372079016176494e-13,0,0,,1.38643,0.5674913426574764,0.38701065508468907,0.9204488396188311,82,21,8,0.6
unstr_coarse,0.5,5,True,2.939361459144352e-13,0,0,,1.39508,0.6190366999836988,0.41266225452546595,0.9643478582558819,80,24,8,2.5
unstr_coarse,0.5,12,True,8.34122722557325e-12,0,0,,1.35598,0.6189610663839182,0.33856609745966537,0.6754611288027031,102,25,8,5.6
unstr_coarse,0.75,0,True,8.770831210688962e-11,0,0,,1.39743,0.6234438621940652,0.42026481765653534,0.9848620687360756,82,18,8,0.5
unstr_coarse,0.75,5,True,1.5474838594093737e-11,0,0,,1.39398,0.6075253872658917,0.40910850284480044,0.9664867410147606,83,23,8,2.4
unstr_coarse,0.75,12,False,0.01652615093189391,2942,382,clamping,3.0,0.9224889629139257,-0.3604479996556488,0.5055928481158389,103,80,8,12.9
unstr_coarse,1.0,0,True,2.904495138539988e-13,0,0,,1.39367,0.6194677102667253,0.40797770675544015,0.9606541474646304,86,28,8,0.6
unstr_coarse,1.0,5,True,8.670928062013865e-13,0,0,,1.39345,0.6072503529432096,0.4071081255343819,0.9721305566366263,84,21,8,2.4
unstr_coarse,1.0,12,False,0.022493491660774273,2600,580,clamping,3.0,0.8817572003555676,0.5091541277042915,0.3372097873256942,119,80,8,12.1
