C,accept_reason,cl_p,clamped,converged,error,failure_mode,level,m_max,mode_evidence,n_floored,n_limited,n_newton,n_picard_seed,n_shock_cells,res_final,sigma_min,wall_s,x_shock
1.0,tol,0.42473,False,True,,,coarse,1.40521,accept_reason='tol',0,0,18,0,83,2.944963489033947e-13,0.973763981282776,0.8,0.6232798974799071
1.5,tol,0.407978,False,True,,,coarse,1.39367,accept_reason='tol',0,0,28,0,86,2.904495138539988e-13,0.9606541474646304,0.7,0.6194677102667253
3.0,tol,0.377355,False,True,,,coarse,1.34504,accept_reason='tol',0,0,14,0,79,4.924193351421044e-13,0.9797653300724334,0.5,0.6210061977710708
1.0,tol,0.413008,False,True,,,coarse,1.40199,accept_reason='tol',0,0,23,5,86,2.6927998229221763e-11,0.9493413832489739,2.5,0.6058305162933866
1.5,tol,0.407108,False,True,,,coarse,1.39345,accept_reason='tol',0,0,21,5,84,8.670928062013865e-13,0.9721305566366263,2.4,0.6072503529432096
3.0,tol,0.377442,False,True,,,coarse,1.34507,accept_reason='tol',0,0,13,5,79,3.7789129873649177e-13,0.9798103943618411,2.3,0.6210551231184764
1.0,,0.857947,True,False,,clamping,medium,3.0,clamps 1135/0; descent10=0.057; tail_monotone=False (n_up=6); F_final=1.11e-16,0,1135,47,0,348,0.016298360909977893,0.4504200303518837,25.8,0.978699920321843
1.5,,-0.016834,True,False,,clamping,medium,3.0,clamps 7265/758; descent10=0.049; tail_monotone=False (n_up=7); F_final=0.00e+00,758,7265,35,0,468,0.03287442023042297,0.35775444496379705,28.3,0.8924880693684976
3.0,,0.519284,False,False,,limit_cycle,medium,1.39486,descent10=0.768; tail_monotone=False (n_up=3); F_final=0.00e+00,0,0,80,0,210,4.1342953724178633e-07,0.9794937731436243,12.4,0.7044677545456074
1.0,,0.63779,True,False,,clamping,medium,3.0,clamps 2587/391; descent10=0.157; tail_monotone=False (n_up=5); F_final=3.33e-16,391,2587,70,5,277,0.00975970102752791,0.3644123683470783,58.2,0.9805552766377399
1.5,tol,0.34134,False,True,,,medium,1.3745,accept_reason='tol',0,0,62,5,164,2.854995790643492e-13,0.9124725743550913,19.5,0.6005923629166801
3.0,tol,0.289614,False,True,,,medium,1.33197,accept_reason='tol',0,0,19,5,147,3.160608307826535e-13,0.8921650437995124,14.2,0.6135659896425643
