C,cl_p,clamped,converged,error,level,m_max,res_final,wall_s,x_shock
1.0,0.416883,False,False,,coarse,1.54036,2.1836079953269522e-05,4.3,0.6042794131975584
1.5,0.395449,False,True,,coarse,1.3897,3.225069902543372e-13,2.5,0.599195584148166
3.0,0.370426,False,True,,coarse,1.34185,1.733375318783258e-12,2.5,0.6051841301426908
1.0,0.055177,True,False,,medium,3.0,0.0019894401457568878,12.9,0.754698791788246
1.5,0.539056,False,False,,medium,1.41638,4.2018319098005966e-08,18.1,0.7235529244644452
3.0,0.070768,False,True,,medium,1.24354,2.50153638786898e-13,16.5,0.7421670334178184
