kind,eta,x_argmax,x_cen,w,A_lo,A_hi,B_lo,B_hi,overlap,in_A,in_B,exp_pts_in_A,grid_lo,grid_hi,x_peak_S4,x_foot_S2,x_foot_S4,candidate,argmax_eta,turns_over,dist_to_090,matches,prof_eta0.2,prof_eta0.44,prof_eta0.65,prof_eta0.8,prof_eta0.9,prof_eta0.96,prof_eta0.99
F,0.2,0.004000167224426402,0.02289146171744142,0.002114966050006899,0.011145109881969211,0.01326007593197611,0.06350467032986813,0.06561963637987504,0.0,False,False,0,1.7180591753674822e-07,0.15,0.06456215335487159,0.01326007593197611,0.011145109881969211,,,,,,,,,,,,
F,0.44,0.0045000000000000005,0.042690459816032374,0.007610587245693505,0.005973876665646469,0.013584463911339974,0.06497905489034189,0.07258964213603539,0.0,False,False,1,0.0,0.15,0.06878434851318864,0.013584463911339974,0.005973876665646469,,,,,,,,,,,,
F,0.65,0.03464606086306194,0.0396805449130902,0.01988671772970618,0.005250013115164606,0.025136730844870784,0.024681304483075615,0.0445680222127818,0.02290103213537679,False,True,2,0.00018968943254798074,0.15,0.03462466334792871,0.025136730844870784,0.005250013115164606,,,,,,,,,,,,
F,0.8,0.008416351235630531,0.036743224448506126,0.01712777549730691,0.005982848054020912,0.02311062355132782,0.054021396063057836,0.07114917156036474,0.0,True,False,2,0.0009645802480321395,0.15,0.06258528381171129,0.02311062355132782,0.005982848054020912,,,,,,,,,,,,
F,0.9,0.004182314036599052,0.041382049805182036,0.015727960957625704,0.004054085463354781,0.019782046420980484,0.020632895787493416,0.036360856745119116,0.0,True,False,2,0.00018730894171135545,0.15,0.028496876266306266,0.019782046420980484,0.004054085463354781,,,,,,,,,,,,
F,0.96,0.007751604301795527,0.04730097900153486,0.014890009767046838,0.0037140318779972092,0.018604041645044048,0.048071493178315675,0.06296150294536251,0.0,True,False,2,0.000264846633468977,0.15,0.055516498061839094,0.018604041645044048,0.0037140318779972092,,,,,,,,,,,,
F,0.99,0.002106612583255876,0.03892840271483849,0.0069994383213272445,0.0021192816220963126,0.009118719943423557,0.027827245559954018,0.03482668388128126,0.0,False,False,1,0.0006127399830867437,0.15,0.03132696472061764,0.009118719943423557,0.0021192816220963126,,,,,,,,,,,,
G,,,,,,,,,,,,,,,,,,d_self (target),0.9,True,0.0,True,0.12987270857243893,0.24353877536803942,0.27953001665236676,0.3558004892872285,0.3731872510126091,0.3551225947966257,0.2682460174790664
G,,,,,,,,,,,,,,,,,,Gamma(z),0.2,True,0.7,False,0.10651584513298894,0.10058941733112402,0.08828139559574193,0.07205210962477147,0.05405555375461628,0.031010405956205737,0.002015711406676411
G,,,,,,,,,,,,,,,,,,Gamma/c,0.44,True,0.46,False,0.14482268266180182,0.15457375113984362,0.15310473145469616,0.13759679936729152,0.110692628101717,0.06638144011742728,0.004414973400017368
G,,,,,,,,,,,,,,,,,,chord c(eta),0.2,True,0.7,False,0.7354914518586209,0.6507535502591271,0.5766078863595699,0.5236466978598862,0.48833923886009717,0.4671547634602236,0.45656252576028694
G,,,,,,,,,,,,,,,,,,x_foot(S4),0.2,True,0.7,False,0.011145109881969211,0.005973876665646469,0.005250013115164606,0.005982848054020912,0.004054085463354781,0.0037140318779972092,0.0021192816220963126
G,,,,,,,,,,,,,,,,,,|Cp_min|(S4),0.99,False,0.08999999999999997,False,0.7296850361724843,0.9288476482669077,1.098003730490236,1.0060634496007197,1.1489052905314896,1.149362028635175,1.2389623467668138
G,,,,,,,,,,,,,,,,,,|dCp_min|,0.9,True,0.0,True,0.030837354318285826,0.18903204134052365,0.2458903393983134,0.13856579980005357,0.2564722614785694,0.22499720207713092,0.21397494648017212
G,,,,,,,,,,,,,,,,,,|dGamma/dz|,0.96,True,0.05999999999999994,True,0.01151234730311496,0.027708921233740535,0.06984830079329968,0.12364983105713108,0.19548908787190247,0.8069175363978003,0.27131885849487947
