leg,tip_cap,h_wall,h_edge,h_te,h_far,converged,res_final,n_limited,n_floored,solve_s,over_leg_gate,n_tet,n_node,n_wall,le_ht,le_hn,le_aniso,ar_max,dih_min,h_med_r0_0.5,h_med_r0.5_1,h_med_r1_2,h_med_r2_4,h_med_r4_8,cl_p,cl_kj,m_max,m_max_inboard,m1_max,sigma_min,rms_LE_lower,rms_LE_upper,rms_MID_lower,rms_MID_upper,rms_TE_lower,rms_TE_upper,le_up_eta0.2,le_up_eta0.44,le_up_eta0.65,le_up_eta0.8,le_up_eta0.9,budget_met
C_coarse,round,0.03,0.015,0.015,default,True,2.1963758367505134e-12,0,0,6.9,False,68624,15550,6890,0.010508036012715632,0.0266838518063526,0.4850407280741658,9.598391353337473,6.869645074749997,0.01891420952082949,0.0190981650587376,0.014757361818734924,0.08147446761286353,0.07435364549948367,0.2658728551605098,0.2713160659612186,1.650377587170402,1.340684718149279,1.5393715880109362,0.9168383507434127,0.21098152053311772,0.37253058810650863,0.035505140296579224,0.1225116057306487,0.043800805635593305,0.04589423113074717,0.300888994681973,0.31690213884240054,0.46153380023769003,0.34840272588701826,0.402125297937738,
C_medium,round,0.015,0.0075,0.0075,default,True,7.327557454127702e-15,0,0,150.4,False,448197,88213,27068,0.004979089360518886,0.009995574976109048,0.568338233023359,6.353470071392435,5.178079508318348,0.009262710708936453,0.009262528171662749,0.004740096515211069,0.028402638328470457,0.02789285077173041,0.27299400807629454,0.27716722436914065,2.1612824388475116,1.5867098645600062,1.9502148892704507,0.7440951174445697,0.09404285495615845,0.24222058158810203,0.026208163301933457,0.09831763037661119,0.04857398494964444,0.0715625014933042,0.1816910927179595,0.20433759148186853,0.21222900172940437,0.206685419801617,0.3305718049344692,
A1_bulk_heavy,round,0.036,0.018,0.015,1.25,True,7.314246414594787e-12,0,0,17.1,False,72918,15536,5018,0.012319762381375065,0.03122219531165641,0.47419120540752613,6.030179550723031,7.8322116885327375,0.02462791200666682,0.0251527805795089,0.024393302656226995,0.15390358980772204,0.11688834971576252,0.2757307129505954,0.2805582854911323,1.4491768396585825,1.3864217823178786,1.4492014903969033,0.9450636690507263,0.1908574940731155,0.4096491494691533,0.028286791911936112,0.1334026430884414,0.04341186576449443,0.05013674895028572,0.2843303692802809,0.4013642604621775,0.43450484970982334,0.44595807827562645,0.44803870477995145,True
A2_wall_heavy,round,0.026902375285444563,0.013451187642722282,0.015,5.0,True,8.492946876738876e-15,0,0,18.4,False,70011,16547,8322,0.009434856881490788,0.022686490345603685,0.5263875280625394,32.393980640548754,1.7912770916398983,0.016192032106530335,0.016364508039225203,0.008942803458577874,0.0703887280072877,0.07030759873867082,0.24622462441888737,0.2522208931323505,1.5202622142132118,1.3554155975421944,1.3885811853104295,0.9609942811923174,0.18086291537098892,0.3493318429405149,0.043371433776007336,0.1367608546729651,0.03538883435194714,0.05562073952857103,0.2330169193177366,0.3156298907342098,0.43723563817356287,0.3295395243539083,0.38345601557350945,True
A3_le_heavy,round,0.034,0.0075,0.015,default,True,6.023518423841379e-15,0,0,18.2,False,65653,14785,7422,0.004988205953880528,0.009510433989074663,0.5787379691555714,8.81057499287055,3.7850527759615034,0.009454044217848121,0.01873048830092809,0.011720468151597396,0.0980789554161944,0.0856013288230565,0.26419067374076616,0.27010332541120896,1.6958285819060994,1.6958285819060994,1.3150730555173062,0.9766731160552731,0.11172842363578027,0.3127362601612834,0.03592914796076671,0.13258675841044193,0.046438302859480585,0.045273562269273024,0.2312131634826083,0.300078610029546,0.3011041420468681,0.2944267514093752,0.3830389185733496,True
