allpoint_rms_5,band_LE_lower,band_LE_upper,band_MID_lower,band_MID_upper,band_TE_lower,band_TE_upper,pooled_rms_5,rms_eta0.20,rms_eta0.44,rms_eta0.65,rms_eta0.80,rms_eta0.90,rms_eta0.96,rms_eta0.99,smooth_passes,taper
0.132779,0.093746,0.242226,0.025218,0.100636,0.04832,0.068284,0.125974,0.102374,0.112047,0.119353,0.115225,0.180871,0.15686,0.250438,0,True
0.124424,0.113071,0.217125,0.025003,0.100196,0.047499,0.060017,0.120924,0.103293,0.106345,0.11284,0.128842,0.153297,0.161303,0.241293,1,True
0.163066,0.102492,0.256989,0.048052,0.169417,0.032292,0.054994,0.152328,0.109431,0.128698,0.14529,0.148463,0.229756,0.210592,0.256314,0,False
0.155301,0.122811,0.230235,0.048035,0.168491,0.032876,0.046412,0.147622,0.10955,0.122152,0.140494,0.159928,0.205985,0.207194,0.248654,1,False
