kind,region,n,share_pts,share_mass,conc,rms,x_sonic_S0,x_sonic_S2,x_sonic_S4,leg,h_wall,converged,res_final,solve_s,n_limited,n_floored,cl_p,cl_kj,m_max,m_max_inboard,m1_max,sigma_min,rms_LE_lower,rms_LE_upper,rms_MID_lower,rms_MID_upper,rms_TE_lower,rms_TE_upper,le_up_eta0.2,le_up_eta0.44,le_up_eta0.65,le_up_eta0.8,le_up_eta0.9
region,x<0.05 (LE front),24,0.6666666666666666,0.9259241486115866,1.38888622291738,0.3451063847675895,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,0.05<=x<0.15,12,0.3333333333333333,0.07407585138841326,0.2222275541652398,0.13804434246400857,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,sonic +-0.02c,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,eta<=0.65 (inboard),21,0.5833333333333334,0.34381827727835795,0.5894027610486136,0.22481523685268873,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,eta>=0.80 (outboard),15,0.4166666666666667,0.656181722721642,1.5748361345319406,0.3674830775304388,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,eta0.2,,,,,0.12987270857243893,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,eta0.44,,,,,0.24353877536803942,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,eta0.65,,,,,0.27953001665236676,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,eta0.8,,,,,0.3558004892872285,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,eta0.9,,,,,0.3731872510126091,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonic,eta0.2,,,,,,0.6055322326664462,0.6449833133182775,0.6490622564336938,,,,,,,,,,,,,,,,,,,,,,,,
sonic,eta0.44,,,,,,0.5761693692047904,0.6012099467916073,0.5957929482454518,,,,,,,,,,,,,,,,,,,,,,,,
sonic,eta0.65,,,,,,0.5298013370354046,0.5659820580948174,0.5404984843216226,,,,,,,,,,,,,,,,,,,,,,,,
sonic,eta0.8,,,,,,0.4417301702915672,0.5148185137762996,0.47307175137642665,,,,,,,,,,,,,,,,,,,,,,,,
sonic,eta0.9,,,,,,0.4927377409520914,0.43806064622109336,0.3710152535941729,,,,,,,,,,,,,,,,,,,,,,,,
summary,d_self_sigma_on,,,,,0.2928327589262237,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,d_self_sigma_off,,,,,0.2928969843616567,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,cp_star,,,,,-0.32815425189766423,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,n_common,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm2,,,,,,,,,,S0_noent,0.06,True,1.602936179627154e-12,0.7,0,0,0.23236733447514885,0.23692290008525238,1.2067247993934567,1.1951705824244165,,,0.31422301241657585,0.5549762341720815,0.07002376419850115,0.17792668841699424,0.017762108495013924,0.029437225942882155,0.49499678228624017,0.505992652987901,0.5942677867816002,0.5919718284661912,0.5801640343449096
arm2,,,,,,,,,,S2_noent,0.03,True,1.8206216344870152e-11,12.9,0,0,0.2572827327363919,0.26351101076596317,1.5349203428177536,1.3195779006537853,,,0.21588228170380466,0.3761410074492861,0.04164535720777035,0.13106604413472064,0.04655252631365706,0.03934442060701325,0.21758943923872642,0.35513110017748944,0.48013235769477564,0.4079294623602921,0.37733658788099544
arm2,,,,,,,,,,S4_noent,0.015,True,5.501842798887237e-15,140.4,0,0,0.27393191138897593,0.2780569821805621,2.1688696505258447,1.5870993376257256,,,0.09420952022437348,0.24212490843618645,0.026391746116974483,0.10117510619880284,0.04891562715474747,0.0718619937869747,0.18171349666120573,0.20428614916624507,0.21213052029990043,0.20640027009336032,0.3304734129035049
