alpha,case,converged,d1_margin_median_all,d1_margin_median_supersonic,d2_self_donor_frac_all,d2_self_donor_frac_supersonic,d3_cycles,d4_no_upstream_frac,d_zone_cells_all,d_zone_cells_supersonic,m_max,n_floored,n_limited,n_supersonic,n_tets,res_final
1.25,unstructured,True,0.9111115191880936,0.8893865619316457,0.0001780280960704344,0.0,0,0.0001780280960704344,61788,1592,1.1537186509541346,0,0,1592,61788,2.359491251329911e-13
1.25,structured_hex,True,0.9650548293283296,0.9939669917799554,0.0005490583649041893,0.0,0,0.0005490583649041893,36426,1026,1.1124199985997498,0,0,1026,36426,3.5932917758404706e-12
