C,alpha,arm,converged,leg,m_inf,m_max,max_comp,n_cross,n_floored,n_ge50,n_limited,note,res_final,status,sup_frac,wall_s
0.0574,3.06,P0,True,M0.78,0.78,1.4649,16,1062,0,0,0,,2.9862217951501274e-13,OK,0.01202,10.2
0.1435,3.06,P1,True,M0.78,0.78,1.4649,21,669,0,0,0,,2.9862217951501274e-13,OK,0.01202,10.2
0.1336,3.06,P2,True,M0.78,0.78,1.4649,16,584,0,0,0,,2.9862217951501274e-13,OK,0.01202,10.2
0.0299,3.06,P3,True,M0.78,0.78,1.4649,14,469,0,0,0,,2.9862217951501274e-13,OK,0.01202,10.2
0.0603,3.06,S1,True,M0.78,0.78,1.4649,16,647,0,0,0,,2.9862217951501274e-13,OK,0.01202,10.2
0.1136,3.06,P0,True,M0.82,0.82,1.5911,20,2455,0,0,0,,1.7031050252319754e-12,OK,0.04755,72.1
0.2809,3.06,P1,True,M0.82,0.82,1.5911,36,1488,0,0,0,,1.7031050252319754e-12,OK,0.04755,72.1
0.2914,3.06,P2,True,M0.82,0.82,1.5911,36,1342,0,0,0,,1.7031050252319754e-12,OK,0.04755,72.1
0.1541,3.06,P3,True,M0.82,0.82,1.5911,27,1123,0,0,0,,1.7031050252319754e-12,OK,0.04755,72.1
0.1218,3.06,S1,True,M0.82,0.82,1.5911,23,1322,0,0,0,,1.7031050252319754e-12,OK,0.04755,72.1
0.2432,3.06,P0,True,M0.86,0.86,1.738,79,4079,0,1,0,,1.6250361383882622e-12,OK,0.10905,77.5
0.4572,3.06,P1,True,M0.86,0.86,1.738,109,3014,0,1,0,,1.6250361383882622e-12,OK,0.10905,77.5
0.3013,3.06,P2,True,M0.86,0.86,1.738,34,2423,0,0,0,,1.6250361383882622e-12,OK,0.10905,77.5
0.2224,3.06,P3,True,M0.86,0.86,1.738,31,1875,0,0,0,,1.6250361383882622e-12,OK,0.10905,77.5
0.1282,3.06,S1,True,M0.86,0.86,1.738,19,2262,0,0,0,,1.6250361383882622e-12,OK,0.10905,77.5
0.2212,3.06,P0,True,ANCHOR,0.88,1.8641,63,5190,0,2,0,reused from gs40d,3.403672178211239e-11,OK,0.15395,0.0
0.4786,3.06,P1,True,ANCHOR,0.88,1.8641,223,3849,0,6,0,reused from gs40d,3.403672178211239e-11,OK,0.15395,0.0
0.396,3.06,P2,True,ANCHOR,0.88,1.8641,43,3275,0,0,0,reused from gs40d,3.403672178211239e-11,OK,0.15395,0.0
0.2911,3.06,P3,True,ANCHOR,0.88,1.8641,32,2504,0,0,0,reused from gs40d,3.403672178211239e-11,OK,0.15395,0.0
0.18,3.06,S1,True,ANCHOR,0.88,1.8641,38,2905,0,0,0,reused from gs40d,3.403672178211239e-11,OK,0.15395,0.0
0.2079,1.53,P0,True,A1.53,0.88,1.3388,75,4405,0,2,0,,3.3350832452469077e-12,OK,0.13811,28.5
0.4185,1.53,P1,True,A1.53,0.88,1.3388,106,3405,0,4,0,,3.3350832452469077e-12,OK,0.13811,28.5
0.3089,1.53,P2,True,A1.53,0.88,1.3388,34,2939,0,0,0,,3.3350832452469077e-12,OK,0.13811,28.5
0.2472,1.53,P3,True,A1.53,0.88,1.3388,131,2447,0,1,0,,3.3350832452469077e-12,OK,0.13811,28.5
0.1762,1.53,S1,True,A1.53,0.88,1.3388,28,2724,0,0,0,,3.3350832452469077e-12,OK,0.13811,28.5
,4.59,,False,A4.59,0.88,,,,0,,0,accept_reason=None; clamps=0/0; gmres_stalled=0; m_last_converged=0.8250000000000003; target_reached=False; tail=[0.00170564 0.00137721 0.00103239],0.0010323916905152408,NOT_CONVERGED,,73.5
