leg,precond,repeat,n_tets,converged,res_final,n_newton,wall_s,cl_p,cl_kj,le_upper,pooled,m_max,from_prior,src,note
Tp5,direct,0,145303,True,6.358297312255152e-15,14,57.9,0.26450101506287743,0.26992916281061125,0.270411482612606,0.1454335024530295,1.5918820288134148,False,,
Tp5,direct,1,145303,True,6.358297312255152e-15,14,58.3,0.26450101506287743,0.26992916281061125,0.270411482612606,0.1454335024530295,1.5918820288134148,False,,
Tp5,amg,0,145303,True,1.0192115818466591e-14,14,22.5,0.26451206290116386,0.2699398763098927,0.27041462811440503,0.1454380216005862,1.5922135401912356,False,,
Tp5,direct,0,145303,True,6.358297312255152e-15,14,57.7,0.26450101506287743,0.26992916281061125,0.270411482612606,0.1454335024530295,1.5918820288134148,False,,
Tp5,direct,1,145303,True,6.358297312255152e-15,14,57.9,0.26450101506287743,0.26992916281061125,0.270411482612606,0.1454335024530295,1.5918820288134148,False,,
Tp5,amg,0,145303,True,1.0192115818466591e-14,14,23.1,0.26451206290116386,0.2699398763098927,0.27041462811440503,0.1454380216005862,1.5922135401912356,False,,
Tp5,amg_tight,0,145303,True,7.246475731955278e-15,14,47.1,0.26450101506287726,0.26992916281061113,0.270411482612606,0.14543350245302947,1.5918820288135758,False,,
T0,direct,0,350718,True,6.04149679200731e-15,14,235.5,0.2734721265081531,0.27805552493612395,0.2358363391925522,0.1248549298986199,1.6718529317304232,False,,
T0,amg,0,350718,True,6.929226395268082e-15,14,60.2,0.2734723453473569,0.2780585131412182,0.23580507112493618,0.12484423789482857,1.671854940852948,False,,
T0,amg_tight,0,350718,True,6.04149679200731e-15,14,149.1,0.2734721265081529,0.2780555249361239,0.23583633919255295,0.12485492989861932,1.6718529317304727,False,,
T1,direct,0,1159200,True,,,3950.4,0.281065,0.284705,0.175755,0.1008,1.9557,True,bench/gate_results/tip_allscales.csv,
