clamp_frac_LE,clamp_frac_MID,converged,disp_LE_lower,disp_LE_upper,disp_MID_lower,disp_MID_upper,disp_TE_lower,disp_TE_upper,disp_pooled,fallback_fired,h_far,h_le,le_ht,m_max,n_floored,n_le_faces,n_limited,n_shock_cells,n_tet,n_wall,res_final,t_gen_s,tag,usable,wall_s,x_of_peak_q2,x_shock_0.44,x_shock_0.65,x_shock_0.9
0.0,0.0,True,,,,,,,,False,2.4,0.01,0.0067466661,1.67828,0,3249,0,557,187055,15094,2.1713624053000325e-11,32.3,G00_base,True,59.4,1.1532,0.14896204303098987,0.16019949169639933,0.15307593122324956
0.0,0.0,True,0.061312,0.098113,0.005596,0.011161,0.006656,0.008998,0.049563,False,1.8,0.01,0.0067235279,1.58026,0,3262,0,557,203299,15134,9.766808523540146e-11,34.4,G10_faronly,True,82.2,1.1368,0.15785564072672026,0.18767565635263936,0.16218156791442467
0.0,0.0,True,0.083763,0.143321,0.006038,0.009046,0.011823,0.0102,0.071141,False,2.4,0.0075,0.0049846024,2.06107,0,4223,0,542,195912,16076,1.2094732969385222e-11,38.2,G01_leonly,True,67.6,1.1454,0.1497576401079222,0.16741966833055924,0.1618241123693463
0.0,0.0,True,0.056859,0.12067,0.006951,0.013325,0.00705,0.008872,0.058854,False,1.8,0.0075,0.0049832238,1.83012,0,4262,0,583,212065,16136,3.1725492475473233e-12,40.4,G11_both,True,69.6,1.1456,0.1473425236283635,0.17986681577887945,0.17037782997915227
