arm,cl_kj,cl_p,converged,error,frozen_in_transient,m1_max,m_final,m_last,n_floored,n_limited,probe_cl,res_final,rms_LE_lower,rms_LE_upper,rms_MID_lower,rms_MID_upper,rms_TE_lower,rms_TE_upper,seed,selection_churn,sigma_min,wall_s
A_ramp,0.2735822210718998,0.2681146118868251,True,,True,2.1857885565407535,,,0,0,,4.579464238968384e-13,0.2028721063429355,0.3713622590965689,0.03470869692495751,0.1324158737703603,0.06546759832330333,0.13589974563248747,0,False,0.6346210695791037,6.0
A_ramp,0.27358222107190006,0.2681146118868251,True,,True,2.1857885565407535,,,0,0,,4.579469679932706e-13,0.20287210634293562,0.3713622590965691,0.03470869692495783,0.1324158737703594,0.065467598323302,0.13589974563248347,5,False,0.6346210695791037,8.3
A_ramp,0.2735822210719005,0.26811461188682556,True,,True,2.185788556540543,,,0,0,,4.579471798298851e-13,0.20287210634293512,0.37136225909656967,0.03470869692495705,0.1324158737703604,0.06546759832331338,0.13589974563248672,12,False,0.6346210695791997,9.6
B_direct,0.2735834591322139,0.2681155428120196,False,,True,2.187162776887706,,,0,0,,2.889955283080929e-06,0.2028563916766616,0.37119081198208714,0.034707207981991506,0.13241436985132826,0.06540179783912414,0.13588879146284216,0,False,0.6339929570816203,14.5
B_direct,0.2735834591322137,0.2681155428120192,False,,True,2.187162776887706,,,0,0,,2.88995528307995e-06,0.20285639167665975,0.3711908119820857,0.03470720798198953,0.1324143698513301,0.06540179783912486,0.13588879146284744,5,False,0.6339929570816203,17.0
B_direct,0.27358345913221366,0.2681155428120188,False,,True,2.1871627768877544,,,0,0,,2.8899552830878305e-06,0.2028563916766614,0.3711908119820864,0.03470720798199034,0.1324143698513314,0.06540179783910631,0.13588879146283744,12,False,0.6339929570815985,18.1
