B1_dissipation,B2_donor,B3_sigma_set,arm,band,eta,foot,j1,m_inf,n_tets,part,state
,,,P0,,0.2,0.6705,0.676,,,A,
,,,P0,,0.44,0.6124,0.6256,,,A,
,,,P0,,0.65,0.5759,0.573,,,A,
,,,P0,,0.8,0.9842,0.5202,,,A,
,,,P0,,0.9,0.4451,0.4457,,,A,
,,,P0,,0.96,0.9857,0.3727,,,A,
,,,P0,,0.99,0.9812,0.3438,,,A,
,,,P1,,0.2,0.6705,0.676,,,A,
,,,P1,,0.44,0.6124,0.6256,,,A,
,,,P1,,0.65,0.5759,0.573,,,A,
,,,P1,,0.8,0.5033,0.5202,,,A,
,,,P1,,0.9,0.4665,0.4457,,,A,
,,,P1,,0.96,0.992,0.3727,,,A,
,,,P1,,0.99,0.9785,0.3438,,,A,
,,,P2,,0.2,0.6705,0.676,,,A,
,,,P2,,0.44,0.6209,0.6256,,,A,
,,,P2,,0.65,0.5759,0.573,,,A,
,,,P2,,0.8,0.5072,0.5202,,,A,
,,,P2,,0.9,0.4665,0.4457,,,A,
,,,P2,,0.96,0.3767,0.3727,,,A,
,,,P2,,0.99,0.9753,0.3438,,,A,
,,,P3,,0.2,0.6705,0.676,,,A,
,,,P3,,0.44,0.6045,0.6256,,,A,
,,,P3,,0.65,0.5643,0.573,,,A,
,,,P3,,0.8,0.5245,0.5202,,,A,
,,,P3,,0.9,0.4472,0.4457,,,A,
,,,P3,,0.96,0.3767,0.3727,,,A,
,,,P3,,0.99,0.9738,0.3438,,,A,
,,,S1,,0.2,0.6705,0.676,,,A,
,,,S1,,0.44,0.6124,0.6256,,,A,
,,,S1,,0.65,0.5759,0.573,,,A,
,,,S1,,0.8,0.5072,0.5202,,,A,
,,,S1,,0.9,0.4451,0.4457,,,A,
,,,S1,,0.96,0.9857,0.3727,,,A,
,,,S1,,0.99,0.9785,0.3438,,,A,
0.026958,0.060547,0.037436,,BR-MED,,,,0.82,68624,B,wing M0.82
0.034798,0.062893,0.087112,,BR-MED,,,,0.86,68624,B,wing M0.86
0.034915,0.063695,0.124694,,BR-LARGE,,,,0.88,68624,B,wing M0.88
