block,m_inf,alpha,seed,n_tets,converged,res_final,n_limited,n_floored,m_max,x_shock,cl,n_newton,failure_mode,accept_reason,threads,wall_s
M080_a125_R0,0.8,1.25,0,36426,True,1.2776876278769266e-13,0,0,1.39873,0.714087,0.261367,48,,tol,8,4.7
M080_a125_R0,0.8,1.25,5,36426,True,9.45577175714882e-14,0,0,1.33286,0.605084,0.258223,31,,tol,8,3.7
M080_a125_R0,0.8,1.25,12,36426,True,3.264176358110929e-11,0,0,1.38169,0.545786,0.351467,37,,tol,8,6.3
M080_a125_RG,0.8,1.25,0,65670,True,1.0404372610938387e-13,0,0,1.35892,0.523612,0.248707,28,,tol,8,6.5
M080_a125_RG,0.8,1.25,5,65670,True,7.284732688322017e-11,0,0,2.04095,0.773876,0.347132,56,,tol,8,16.1
M080_a125_RG,0.8,1.25,12,65670,False,0.34471966067899124,8221,547,3.0,0.7813,1.037729,9,clamping,None,8,11.8
M072_a125_R0,0.72,1.25,0,36426,True,3.5932917758404706e-12,0,0,1.11242,0.25762,0.222089,16,,tol,8,1.0
M072_a125_R0,0.72,1.25,5,36426,True,1.2093992313821763e-13,0,0,1.11205,0.257823,0.222088,13,,tol,8,2.5
M072_a125_R0,0.72,1.25,12,36426,True,1.3422546355054819e-13,0,0,1.11237,0.257605,0.22209,14,,tol,8,3.9
M080_a000_R0,0.8,0.0,0,36426,True,4.2595728294351213e-13,0,0,1.20034,0.401633,-0.003605,14,,tol,8,1.4
M080_a000_R0,0.8,0.0,5,36426,True,1.3644875540317739e-13,0,0,1.20048,0.410448,-0.003634,14,,tol,8,2.4
M080_a000_R0,0.8,0.0,12,36426,True,3.517927538076264e-13,0,0,1.20027,0.410441,-0.003613,14,,tol,8,3.3
M080_a125_unstr_coarse,0.8,1.25,0,16386,True,2.904495138539988e-13,0,0,1.39367,0.619468,0.407978,28,,tol,8,0.6
M080_a125_unstr_coarse,0.8,1.25,5,16386,True,8.670928062013865e-13,0,0,1.39345,0.60725,0.407108,21,,tol,8,2.4
M080_a125_unstr_coarse,0.8,1.25,12,16386,False,0.022493491660774273,2600,580,3.0,0.881757,0.509154,80,clamping,None,8,12.1
M080_a125_unstr_medium,0.8,1.25,0,61788,False,0.01837431731129636,4388,563,3.0,0.879825,0.352693,29,clamping,None,8,38.8
M080_a125_unstr_medium,0.8,1.25,5,61788,False,9.908574465717508e-07,0,0,1.53965,0.573795,0.340114,80,limit_cycle,None,8,18.2
M080_a125_unstr_medium,0.8,1.25,12,61788,False,0.208333901283846,9096,543,3.0,0.683404,-1.466777,7,clamping,None,8,25.3
