case,sigma,seed,C,n_tets,converged,res_final,n_limited,n_floored,failure_mode,m_max,x_shock,cl_p,sigma_min,n_newton,threads,wall_s
unstr_coarse,ON,0,1.5,16386,True,2.904495138539988e-13,0,0,,1.39367,0.6194677,0.407978,0.960654,28,8,0.9
unstr_coarse,ON,5,1.5,16386,True,8.670928062013865e-13,0,0,,1.39345,0.6072504,0.407108,0.972131,21,8,2.3
unstr_coarse,ON,12,1.5,16386,False,0.022493491660774273,2600,580,clamping,3.0,0.8817572,0.509154,0.33721,80,8,11.9
unstr_coarse,OFF,0,1.5,16386,True,1.1653252551907464e-11,0,0,,1.40767,0.658082,0.458994,,34,8,0.8
unstr_coarse,OFF,5,1.5,16386,True,5.460593772158419e-12,0,0,,1.40765,0.6580806,0.458974,,35,8,2.6
unstr_coarse,OFF,12,1.5,16386,True,3.679987447714666e-13,0,0,,1.40767,0.658082,0.458994,,21,8,5.2
unstr_medium,ON,0,1.5,61788,False,0.01837431731129636,4388,563,clamping,3.0,0.8798247,0.352693,0.357754,29,8,35.5
unstr_medium,ON,5,1.5,61788,False,9.908574465717508e-07,0,0,limit_cycle,1.53965,0.5737947,0.340114,0.912475,80,8,16.6
unstr_medium,ON,12,1.5,61788,False,0.208333901283846,9096,543,clamping,3.0,0.6834044,-1.466777,0.0,7,8,22.8
unstr_medium,OFF,0,1.5,61788,False,1.0582802399568745e-05,0,0,limit_cycle,1.52558,0.8619293,0.88581,,80,8,13.5
unstr_medium,OFF,5,1.5,61788,False,6.85887842366287e-06,0,0,limit_cycle,1.53198,0.8818738,0.924572,,80,8,20.7
unstr_medium,OFF,12,1.5,61788,False,0.1054253024901835,19746,789,clamping,3.0,0.5924446,-0.165471,,68,8,64.8
hybrid_R0,ON,0,1.5,36426,True,1.2776876278769266e-13,0,0,,1.39873,0.7140866,0.261367,0.743168,48,8,4.4
hybrid_R0,ON,5,1.5,36426,True,9.45577175714882e-14,0,0,,1.33286,0.6050839,0.258223,0.785855,31,8,3.7
hybrid_R0,ON,12,1.5,36426,True,3.264176358110929e-11,0,0,,1.38169,0.5457864,0.351467,0.987418,37,8,6.0
hybrid_R0,OFF,0,1.5,36426,True,1.1977729730607452e-11,0,0,,1.3854,0.5605567,0.359547,,77,8,4.3
hybrid_R0,OFF,5,1.5,36426,True,1.1960241394929015e-11,0,0,,1.38549,0.5605705,0.359584,,32,8,3.2
hybrid_R0,OFF,12,1.5,36426,True,1.3040433957209552e-13,0,0,,1.38583,0.560546,0.359537,,79,8,7.3
