c_dsig,c_move,c_res,c_set,converged,distinct_nshock,flips_last_two,label,leg,m1_max,m_inf,n_newton,n_refresh,n_shock_cells,period,res_final,seed,sigma_min,tail_dsigma_max,tail_dsigma_min,tail_nshock,wall_s
True,True,True,True,False,2,9,L1,comment_M07875,1.271409246030882,0.7875,80,81,74,3,3.477156491509159e-06,0,0.9840069170790541,0.015561879528104172,0.015459469810356508,74;74;75;74;74;75;74;74;75;74,1.7
True,True,True,True,False,2,13,L1,comment_M07875,1.2714294392366798,0.7875,80,81,75,3,2.147242831562656e-06,5,0.9840038710290108,0.015548722545578042,0.015466179252360601,75;74;74;75;74;74;75;74;74;75,3.3
True,True,True,False,False,10,284,L3,comment_M07875,0.0,0.7875,78,78,0,,3.4341015224639726,12,1.0,1.0,1.0,314;280;295;222;243;255;230;274;284;0,12.6
True,True,True,True,False,3,119,L1,unstr_coarse_M080,1.2964456998065363,0.8,80,81,88,4,6.691386032076225e-05,0,0.9799845439165762,0.06712993151499735,0.04856587769402754,85;88;85;90;85;88;85;90;85;88,1.8
True,True,True,True,False,2,1,L1,unstr_coarse_M080,1.3890832248707095,0.8,80,81,85,5,2.6844337567067005e-06,5,0.9608731921134667,0.009135697067600534,0.002977045796663469,86;86;86;86;85;86;86;86;86;85,3.3
True,True,True,False,False,10,398,L3,unstr_coarse_M080,2.930657558904399,0.8,68,68,212,,0.5797729970197744,12,0.0,1.0,1.0,320;352;326;354;330;248;368;221;232;212,11.0
True,True,True,True,False,2,18,L1,hybrid_R0_M080,1.3095117182001546,0.8,80,80,154,2,1.231576004478582e-05,0,0.9776901722674461,0.010160378826453487,0.01016037882645271,148;154;148;154;148;154;148;154;148;154,4.4
True,True,True,False,False,4,76,L3,hybrid_R0_M080,1.3432358094148327,0.8,80,81,150,,3.646826550706823e-05,5,0.9711538135146183,0.016850265675205645,0.008303898353653305,153;151;152;153;150;152;151;151;152;150,6.7
True,True,True,False,False,5,9,L3,hybrid_R0_M080,1.3183098371109903,0.8,80,81,156,,9.825666497205999e-06,12,0.9760700697900746,0.02336211445542813,0.010770693022218225,155;154;154;155;154;147;154;148;155;156,8.3
