eta,x_shock_smooth0,x_shock_smooth1,delta,tip_masked
0.2,0.6491297712094035,0.649165556868483,3.6e-05,False
0.44,0.5978264241562066,0.5981701803972739,0.000344,False
0.65,0.5415423636446459,0.5416274394669706,8.5e-05,False
0.8,0.4732656760117329,0.4734958475561766,0.00023,False
0.9,0.37294213569102413,0.3757081564155369,0.002766,False
0.96,0.29923153917012935,0.3009697688436688,0.001738,True
0.99,0.2745014746617089,0.2750246608498045,0.000523,True
