case,chain_len_p95,cl_p,converged,cycle_at_min,m1_max,m1_max_traj,n_at_min,n_at_min_hops,n_charged,n_cycles,n_elements,n_floored,n_limited,n_max,n_newton,n_roots,n_shock_cells,n_sigma_refresh,oracle_max_rel,seed,sigma_min,sigma_min_traj,sigma_transport_converged,wall_s
hybrid_R0,174.0,0.26136660393520345,True,False,1.9522072408943194,0.0000;1.2601;1.2286;1.5820;1.3348;1.3600;1.4917;1.3285;1.9522,1,79,153,0,36426,0,0,1,48,20,153,8,0.0,0,0.7431680620675367,1.00000;0.98515;0.98975;0.90184;0.97205;0.96747;0.93238;0.97411;0.74317,True,4.7
hybrid_R0,174.0,0.25822257846600266,True,False,1.858105056362594,1.3169;1.6317;1.3237;1.3371;1.4216;1.5267;1.3215;1.2800;1.8581,2,79,175,0,36426,0,0,2,31,19,176,8,0.0,5,0.7858545933688468,0.97634;0.88316;0.97386;0.97227;0.95263;0.92112;0.97547;0.98269;0.78585,True,3.6
hybrid_R0,174.0,0.35146662521990407,True,False,1.2472820705529526,2.7090;2.5678;2.3415;2.0101;1.9577;1.7014;1.6420;1.2816;1.2473,1,80,159,0,36426,0,0,1,37,19,159,8,0.0,12,0.9874183427010786,0.42011;0.25393;0.00000;0.62447;0.69927;0.80756;0.85080;0.97322;0.98742,True,6.0
unstr_coarse,177.54999999999995,0.40797770675544015,True,False,1.3899894439526634,0.0000;1.3417;1.6223;1.2530;1.5429;1.2909;1.3697;1.3862;1.3900,1,232,86,0,16386,0,0,1,28,7,86,8,0.0,0,0.9606541474646304,1.00000;0.97147;0.88679;0.98666;0.91565;0.98091;0.96542;0.96157;0.96065,True,0.6
unstr_coarse,177.54999999999995,0.4071081255343819,True,False,1.3384717069905012,1.3820;1.3433;1.2721;1.2870;1.2999;1.3057;1.3077;1.2972;1.3385,1,73,84,0,16386,0,0,1,21,7,84,8,0.0,5,0.9721305566366263,0.96256;0.97115;0.98390;0.98155;0.97938;0.97838;0.97802;0.97986;0.97213,True,2.3
unstr_coarse,149.54999999999995,0.5091541277042915,False,True,2.9689962906464524,2.5824;2.3873;2.9317;2.1531;2.0391;2.7025;2.9393;2.7906;2.9690,1,8,119,1510,16386,580,2600,3,80,11,119,8,0.0,12,0.3372097873256942,0.46680;0.00000;0.34816;0.64963;0.70259;0.38600;0.29092;0.39258;0.33721,True,12.0
