band,side,eta,x,cp_exp,cp_S0,cp_S2,cp_S4,in_S0,in_S2,in_S4,common
LE,upper,0.2,0.00034,0.801,0.07614060507961698,0.42479608745624675,0.5984519750858761,True,True,True,True
LE,upper,0.2,0.00216,0.444,0.06595199749531143,0.42908679755099094,0.33551636177725025,True,True,True,True
LE,upper,0.2,0.00866,-0.168,0.029564113265648742,-0.028561141065445383,-0.2714201639608519,True,True,True,True
LE,upper,0.2,0.02037,-0.707,-0.07836917085780745,-0.5691145297107264,-0.6667458495923485,True,True,True,True
LE,upper,0.2,0.03525,-1.069,-0.306925492946472,-0.6875963384127382,-0.684998102703869,True,True,True,True
LE,upper,0.2,0.06036,-0.629,-0.4556227036413168,-0.6190149158711858,-0.7187523459712958,True,True,True,True
LE,upper,0.2,0.09959,-0.465,-0.5112105371481115,-0.5409977009155661,-0.5672648638563376,True,True,True,True
LE,upper,0.44,0.00031,0.781,-0.046213764686859726,0.1762565699867097,0.5196527886689054,True,True,True,True
LE,upper,0.44,0.00108,0.388,-0.05238345961497232,0.1566063290570701,0.5201423136826032,True,True,True,True
LE,upper,0.44,0.00789,-0.256,-0.10694920307009806,-0.15935463171938324,-0.490925703955503,True,True,True,True
LE,upper,0.44,0.01906,-0.842,-0.21048351321839892,-0.570528775870367,-0.6948625601523517,True,True,True,True
LE,upper,0.44,0.03402,-1.127,-0.4701975234939377,-0.6231357819969429,-0.8342718960826314,True,True,True,True
LE,upper,0.44,0.05911,-1.092,-0.6318562562110154,-0.6962767065575034,-0.9008647848022276,True,True,True,True
LE,upper,0.44,0.09913,-0.889,-0.5638680687691142,-0.6639019796029427,-0.7734279062052988,True,True,True,True
LE,upper,0.44,0.14927,-0.488,-0.46140894662165854,-0.7014349204105216,-0.6773357326159009,True,True,True,True
LE,upper,0.65,0.00042,0.752,-0.15900940199428232,-0.0630848230553907,0.33919539600886806,False,True,True,False
LE,upper,0.65,0.00222,0.325,-0.16375701374366564,-0.03411207759448223,0.23556627801747154,True,True,True,True
LE,upper,0.65,0.00914,-0.324,-0.19438656530150494,-0.06388351099694739,-0.21388543279002967,True,True,True,True
LE,upper,0.65,0.02036,-0.918,-0.24404893068863748,-0.44760435461023734,-0.7977043865991086,True,True,True,True
