level,n_threads,mach,alpha_deg,cl,cl_ref_cfl3d_L4,d_cl_rel,residual,converged,mach_max,s_ref_discrete,s_ref_analytic,x_shock_eta0.44,x_shock_eta0.65,x_shock_eta0.9,d_x_shock_eta0.44,d_x_shock_eta0.65,d_x_shock_eta0.9
coarse,16,0.8395,3.06,2.775363765e-01,0.295448,-6.062530e-02,3.273340409e-11,1,1.610889485e+00,7.601765287e-01,0.752951,6.255630828e-01,5.729860759e-01,4.456864228e-01,+0.034382,+0.061485,+0.129955
medium,16,0.8395,3.06,2.683662226e-01,0.295448,-9.166343e-02,7.173715626e-15,1,1.995205777e+00,7.602171727e-01,0.752951,5.947815206e-01,5.393799093e-01,3.874991924e-01,+0.003601,+0.027879,+0.071768
