side,level,rank,mach,x,y,z,q,dist_fus_surface,z_minus_zjunc,dist_te_junc
A,coarse,1,3.275593516761441,2.2498362646739407,0.1031769109412906,0.16033645264677918,0.010296096105800965,0.13296872151276323,0.010336452646779182,1.405229225368083
A,coarse,2,3.0579066005823297,1.764146632050939,0.08203373630143115,0.1382628750571319,-0.012709782501211115,0.010767398780464205,-0.011737124942868105,0.9194506172424844
A,coarse,3,3.020704483860614,2.1309193032277465,0.07112874540550232,0.12703738387400032,-0.023894258039338697,0.06411466543268529,-0.022962616125999674,1.2846574079676576
A,coarse,4,2.9234786290785433,2.079594157197837,0.06882781833942093,0.14597112891545197,-0.004232366545431015,0.06963914460060834,-0.004028871084548025,1.2330850639931707
A,coarse,5,2.813219255673552,2.3195947933368544,0.07045787217409745,0.14104805871939105,-0.009171539682478995,0.11392208515892702,-0.008951941280608944,1.4728701606558352
C,coarse,1,1.1017832077043992,2.400468578902311,-0.009845656571504243,0.0270392474108126,-0.12628402051707055,0.0013462588033150633,-0.1229607525891874,1.556924833873325
C,coarse,2,1.1012642941663102,2.4016017026254777,-0.026170728394202522,0.010787098675028842,-0.14291106153463465,0.001407379798249439,-0.13921290132497116,1.5596096828162411
C,coarse,3,1.1009366085415897,2.4013080492056047,-0.025314159812238453,0.013044194499863517,-0.1405799696098063,0.0014349920378839767,-0.13695580550013647,1.5591032120349477
C,coarse,4,1.0744687411585832,2.4037389870397754,-0.024201706681730713,0.01689159430584488,-0.1365985558674025,0.0037797529396833077,-0.1331084056941551,1.5611740668029832
C,coarse,5,1.0736692374597192,2.403677807269286,-0.028473728429832364,0.0010903815654358508,-0.15294651065131873,0.00272425884279796,-0.14890961843456416,1.5626117310761878
A,medium,1,6.173512446769648,2.122023041212257,0.06520767435404663,0.1457414881695244,-0.004378903331225369,0.0764048779966703,-0.0042585118304755976,1.275260293814872
A,medium,2,3.5260661717183837,1.311076694100627,0.03355073831946342,0.15156248312475554,0.001485324131475025,0.00523156358396612,0.0015624831247555426,0.4638562021079214
A,medium,3,3.0329907251815946,2.186072709326451,0.07443584832736488,0.1479466798388604,-0.0021788045075345824,0.09516749323000187,-0.002053320161139599,1.339705676795699
A,medium,4,3.0226807108198335,2.1346332104382877,0.07670379652410055,0.14669666774901938,-0.0035557614181462817,0.08480249737997682,-0.0033033322509806173,1.2884844918294514
A,medium,5,2.593877795862772,2.130479537444614,0.07248625557502816,0.1404199308306328,-0.010013741146206944,0.07645744500016631,-0.009580069169367184,1.2841247296643814
C,medium,1,1.0742157956036216,2.3984837301134325,-0.0180898058808375,0.02387784830621239,-0.12944097781286357,0.001730984723200598,-0.1261221516937876,1.555273461760699
C,medium,2,1.0685932244626122,2.398060367048378,-0.02782393621366125,0.009453402085364401,-0.1442736593517696,0.0010115977304382406,-0.14054659791463558,1.556231581523054
C,medium,3,1.0649282491706402,2.3981278838863966,-0.026344839369922247,0.012298390068794598,-0.1413412782996766,0.0007229056752824474,-0.1377016099312054,1.556018720134429
C,medium,4,1.064288235282992,2.398398610583518,-0.027781729052173902,0.011335228185497927,-0.14231915197251696,0.0017491597610637885,-0.13866477181450207,1.5563988482956121
C,medium,5,1.0553867047209953,1.788057807412468,-0.14347854490110273,0.05832756167519804,-0.09220426798477756,0.004881236106611009,-0.09167243832480196,0.9549215423083404
