request,case,geometry,model,turb_model,level,mach,alpha_deg,re_chord,x_tr,x_tr_actual,nj,nk,n_surface_cells,h1_wall,yplus_avg,yplus_max,cl,cd,cd_pressure,cd_friction,cm_quarter_chord,resid_final,resid_decades,ncyc_total,recipe,status,wall_s,keywords,laminar_echo,forcezero_echo,note
2D-5,rae2822_m0725_a2.55,rae2822,euler,none,L1,0.7250,2.5500,6.5000e+06,,,281,49,200,2.0000e-03,,,0.973824,0.013709,0.013709,0.000000,0.133002,8.621440e-16,10.75,3000,cfl1x5_nitfo0_ncyc1000_mseq3,cached,0.0,,none,0,RAE2822 case 7; same condition as rae2822_experiment ExpCase7
2D-5,rae2822_m0725_a2.55,rae2822,euler,none,L2,0.7250,2.5500,6.5000e+06,,,393,69,280,1.4140e-03,,,0.979943,0.013269,0.013269,0.000000,0.133540,9.961488e-15,9.51,3000,cfl1x5_nitfo0_ncyc1000_mseq3,cached,0.0,,none,0,RAE2822 case 7; same condition as rae2822_experiment ExpCase7
2D-5,rae2822_m0725_a2.55,rae2822,euler,none,L3,0.7250,2.5500,6.5000e+06,,,561,97,400,1.0000e-03,,,0.982077,0.013035,0.013035,0.000000,0.133733,1.882695e-10,5.04,3000,cfl1x5_nitfo0_ncyc1000_mseq3,cached,0.0,,none,0,RAE2822 case 7; same condition as rae2822_experiment ExpCase7
2D-5,rae2822_m0725_a2.55,rae2822,euler,none,L4,0.7250,2.5500,6.5000e+06,,,785,137,560,7.0710e-04,,,0.981571,0.012828,0.012828,0.000000,0.133450,5.538535e-13,7.37,3000,cfl1x5_nitfo0_ncyc1000_mseq3,ok,123.7,,none,0,RAE2822 case 7; same condition as rae2822_experiment ExpCase7
2D-6,rae2822_m0730_a3.19,rae2822,euler,none,L1,0.7300,3.1900,6.5000e+06,,,281,49,200,2.0000e-03,,,1.093231,0.030826,0.030826,0.000000,0.149684,2.766528e-15,10.37,3000,cfl1x5_nitfo0_ncyc1000_mseq3,cached,0.0,,none,0,RAE2822 case 9/10; same condition as rae2822_experiment M0.73
2D-6,rae2822_m0730_a3.19,rae2822,euler,none,L2,0.7300,3.1900,6.5000e+06,,,393,69,280,1.4140e-03,,,1.108607,0.031366,0.031366,0.000000,0.153331,2.202394e-15,10.28,3000,cfl1x5_nitfo0_ncyc1000_mseq3,cached,0.0,,none,0,RAE2822 case 9/10; same condition as rae2822_experiment M0.73
2D-6,rae2822_m0730_a3.19,rae2822,euler,none,L3,0.7300,3.1900,6.5000e+06,,,561,97,400,1.0000e-03,,,1.110904,0.031184,0.031184,0.000000,0.153635,2.789934e-14,8.97,3000,cfl1x5_nitfo0_ncyc1000_mseq3,cached,0.0,,none,0,RAE2822 case 9/10; same condition as rae2822_experiment M0.73
2D-6,rae2822_m0730_a3.19,rae2822,euler,none,L4,0.7300,3.1900,6.5000e+06,,,785,137,560,7.0710e-04,,,1.113160,0.031197,0.031197,0.000000,0.154189,8.627743e-12,6.27,3000,cfl1x5_nitfo0_ncyc1000_mseq3,ok,126.6,,none,0,RAE2822 case 9/10; same condition as rae2822_experiment M0.73
