band,frac,leg,n,n_capped,x_hi,x_lo
LE,0.0,C1.0_s5_target,0,2587,0.1,0.0
MID,0.0,C1.0_s5_target,0,2587,0.5,0.1
SHOCK,0.05798221878623889,C1.0_s5_target,150,2587,0.7,0.5
TE,0.874758407421724,C1.0_s5_target,2263,2587,1.0,0.7
WAKE,0.06725937379203711,C1.0_s5_target,174,2587,1.2264,1.0
