C,accept_reason,assignment_cycle,cap_ratio,cap_steps,capture_n_refresh,conv,evidence,flr_steps,froze,leg,maxM,maxM_x,mode,n_assignment_stale,n_floored,n_freeze_refresh,n_freeze_reverts,n_gmres_stalled,n_gmres_total,n_limited,n_newton,n_refactor,n_shock_cells,n_sigma_refresh,n_steps,n_steps_capped,n_steps_floored,nu_max,res_last,seed,seed_fallback,status,te_maxM,te_sup,wall_s
3.0,tol,True,0.4074,none,8,True,,none,True,C3.0_s5_control,1.332,0.3586,converged,3,0,1,1,0,345,0,18,4,147,8,19,0,0,1.4739125552370806,3.160608307826535e-13,5,"{'fired': False, 'accepted': False, 'seed': None}",OK,0.8517,0,147.3
3.0,,False,0.4357,9-26,8,False,descent10=0.768; tail_monotone=False (n_up=3),none,False,C3.0_s0_target,1.3949,0.4292,limit_cycle,0,0,0,3,0,1229,0,80,20,210,8,80,3,0,1.6084234855169546,4.1342953724178633e-07,0,"{'fired': False, 'accepted': False, 'seed': None}",OK,0.9583,0,99.3
1.0,,False,25513.8704,5-69,8,False,clamps 2587/391; descent10=0.157; tail_monotone=False (n_up=5),19-69,False,C1.0_s5_target,96.3045,0.8275,clamping,0,391,0,2,0,6274,2587,70,44,277,8,70,57,51,0.8997222222222222,0.00975970102752791,5,"{'fired': False, 'accepted': False, 'seed': None}",OK,96.3045,760,1234.4
