form,r_c_over_b,edge_coarse,edge_medium,p_edge,gamma_last_coarse,gamma_last_medium,q,cl_KJ,dcl_pct,n_st_in_taper,converged
none,0.00,0.712,0.981,0.521,0.01756,0.01339,0.44,0.2126,+0.00,0,1
tanh_half,0.10,0.523,0.549,0.079,0.00511,0.00277,1.00,0.1961,-7.73,57,1
vanish_sqrt,0.10,0.507,0.564,0.172,0.00311,0.00115,1.62,0.2042,-3.92,16,1
vanish_linear,0.10,0.508,0.536,0.087,0.00083,0.00021,2.25,0.2017,-5.12,16,1
vanish_linear,0.05,0.544,0.579,0.103,0.00254,0.00063,2.26,0.2089,-1.74,8,1
vanish_smooth,0.08,0.518,0.537,0.059,0.00047,0.00006,3.32,0.2056,-3.27,13,1
vanish_smooth,0.05,0.572,0.571,-0.004,0.00158,0.00020,3.33,0.2092,-1.58,8,1
vanish_smooth,0.03,0.608,0.691,0.207,0.00517,0.00075,3.14,0.2111,-0.70,4,1
