tag,metric,band,measured,verdict
G-USED,each new lag constant reaches the answer,disabling any one must change it,4/4 wired,G-USED PASS
G-LEGACY,laminar fixed point / laminar march / turbulent plate,2.590433 / 2.590433 / 1.2932778384340817 (all three asserted),2.590433 / 2.590433 / 1.2932778384340817,G-LEGACY PASS
G-UNITS,"converted c_D at the TE, rebuilt from c_f and Ctau","<= 15 % (structural closure, not an accuracy claim)",1.2827e-03 dumped vs 1.2829e-03 rebuilt = 0.02 %,G-UNITS PASS
L-LAM,"laminar c_f vs XFOIL, march A",per station: the two correlation sets' own difference there,"43/59 inside, worst excess 2.38 pp at x/c 0.0004",L-FAIL
L-TURB,"theta/H/c_f/Ctau vs XFOIL PER STATION, march B","every station <= max(10 x floor, 2 %) = 2.00 %","theta 177/216 inside, worst 11.9 % at x/c 0.0639; H 208/216 inside, worst 25.8 % at x/c 0.0537; cf 206/216 inside, worst 101.3 % at x/c 0.0537; ctau 204/216 inside, worst 270.2 % at x/c 0.0492","L-FAIL on ['theta', 'H', 'cf', 'ctau']"
L-LAG,"lag vs equilibrium against XFOIL's own Ctau, first 43 stations after transition",the lag arm's deviation smaller than the equilibrium arm's,41/43 stations; median |dev| lag 0.48 % vs equil 1.36 %; whole turbulent run lag 0.06 % vs equil 0.78 %,L-LAG PASS
