level,C,cl_kj,cl_p,converged,error,froze,m_max,n_cells_up,n_dof,wall_s,x_shock_lo,x_shock_up
coarse,1.0,0.54109,0.53163,True,,False,1.4305,4,6106,5.13,0.26216319149802864,0.695005401998579
coarse,1.5,0.46765,0.45897,True,,True,1.4076,1,6106,3.59,0.30239459652835915,0.6580805927055671
coarse,3.0,0.39854,0.39046,True,,True,1.3501,1,6106,3.22,0.32708408618484597,0.6396999287662536
medium,1.0,0.47374,0.46392,False,,True,1.3904,1,21874,123.92,0.2510976039454688,0.6327778732035322
medium,1.5,0.65694,0.64547,False,,True,1.4457,1,21874,99.74,,0.7513266114189839
medium,3.0,0.58186,0.57276,True,,True,1.4081,1,21874,41.8,0.2607518285495354,0.7312849771639028
fine,1.0,0.32992,0.32002,False,,True,1.2964,1,82356,531.82,0.2584429692484092,0.47787105373168437
