case,cd_p,cl_kj,cl_p,converged,cp_min_up,froze,gamma,kutta_mismatch,m_crit,m_max,monotone_up,n_cells_up,n_floored,n_limited,n_picard_total,res_final,res_unfrozen,upwind_c,wall_s,x_shock_lo,x_shock_up
newton_C1.0,,0.5410901943914791,0.5316277275752959,True,-1.2067840076088254,False,0.27054509719573955,,0.95,1.4305345900470476,True,4,0,0,,6.260045698854946e-13,,1.0,11.65,0.26216319149803236,0.6950054019985213
newton_C1.5,,0.4676529264085241,0.45897425650931944,True,-1.174391864027142,True,0.23382646320426206,,0.95,1.4076499256502828,True,1,0,0,,4.167409681348039e-13,4.167409681348039e-13,1.5,3.5,0.3023945965283597,0.6580805927055668
newton_C2.0,,0.432655797486205,0.4243247146053718,True,-1.1431375617729607,True,0.2163278987431025,,0.95,1.3869540290995415,True,1,0,0,,3.713641468525574e-13,3.713641468525574e-13,2.0,3.3,0.32027323133411556,0.6406087465412433
newton_C3.0,,0.3985399050916568,0.3904625055947106,True,-1.0856632870118184,True,0.1992699525458284,,0.95,1.3500522083743138,True,1,0,0,,2.910579094675128e-13,2.910579094675128e-13,3.0,3.13,0.3270840861848445,0.6396999287662535
newton_Mc0.9,,0.4117364291026509,0.4035155873087966,True,-1.1203543893383583,True,0.20586821455132545,,0.9,1.3721514187139348,True,1,0,0,,1.2856354542836085e-12,1.2856354542836085e-12,1.5,2.75,0.3245251780101967,0.6242101042183528
newton_Mc1.0,,0.5433075858248415,0.5337779372973741,True,-1.2172324932543008,True,0.27165379291242076,,1.0,1.4368144849191984,True,1,0,0,,5.587097379554429e-13,5.587097379554429e-13,1.5,4.54,0.2623880465962915,0.6871269363453149
picard_G4.1_recipe,,0.363793935209284,0.35719627794311337,True,-1.121558177187084,False,0.181896967604642,0.0001497586101550652,0.95,1.372925932655569,True,1,0,0,10464,,,1.5,139.6,0.35842339321391536,0.6041354654642527
