case,C,cl_kj,cl_p,converged,cp_min_up,error,froze,kutta_mismatch,m_max,n_cells_up,wall_s,x_shock_lo,x_shock_up
newton_C1.0,1.0,0.47374,0.46827,False,-1.2201,,True,,1.3904,1,123.5,nan,0.632618775489998
newton_C1.5,1.5,0.52852,0.52343,True,-1.2204,,True,,1.4044,1,63.8,nan,0.6737918816715462
newton_C2.0,2.0,0.49081,0.48582,True,-1.1933,,True,,1.3868,1,64.9,nan,0.6522316733819961
newton_C3.0,3.0,0.44834,0.44355,True,-1.1499,,True,,1.3594,1,21.0,nan,0.6314032464742867
picard,1.5,0.3196,0.31624,True,-1.1166,,False,1.4296301376615084e-06,1.3388,1,477.4,0.3242178928963452,0.5710625613561966
