x,cf_FE,H_FE,theta_FE,cf_march,H_march,theta_march
1.9600,0.00482881,1.519707,0.00619184,0.00482582,1.520093,0.00619288
1.9800,0.00481941,1.518443,0.00624034,0.00481652,1.518850,0.00624104
2.0000,0.00481034,1.517199,0.00628812,0.00480723,1.517610,0.00628918
2.0200,0.00480113,1.515972,0.00633651,0.00479811,1.516396,0.00633719
2.0400,0.00479231,1.514762,0.00638405,0.00478908,1.515198,0.00638512
2.0600,0.00478330,1.513570,0.00643232,0.00478012,1.514012,0.00643299
2.0800,0.00477471,1.512394,0.00647960,0.00477134,1.512853,0.00648072
2.1000,0.00476586,1.511236,0.00652780,0.00476255,1.511694,0.00652845
2.1200,0.00475752,1.510091,0.00657479,0.00476255,1.511694,0.00652845
2.1400,0.00474884,1.508965,0.00662294,0.00476255,1.511694,0.00652845
