level,n_dof,upwind_c,m_reached,at_target,usable,gamma,cl_p,x_shock,m_max,res_final,n_halvings,n_solves,entropy,sigma_min,n_shock_cells,m1_detected,n_sigma_refresh,wall_s
coarse,6106,1.5,0.7875,True,True,0.18144652,0.357097,0.5433783816653472,1.35972,2.813165815226038e-13,0,7,True,0.9840136888347516,74,1.2713643463743418,8,3.6
medium,21874,1.5,0.7875,True,True,0.20425307,0.403791,0.6018654487211046,1.37208,9.509549914191645e-11,1,10,True,0.9754245645963383,142,1.321727003780621,10,55.8
