level,n_dof,upwind_c,m_reached,at_target,usable,gamma,cl_p,x_shock,m_max,res_final,n_halvings,n_solves,entropy,sigma_min,n_shock_cells,m1_detected,n_sigma_refresh,wall_s
coarse,6106,1.5,0.7875,True,True,0.18131175,0.356833,0.543543362676694,1.35966,3.460890928359812e-13,0,7,True,0.9843474185314568,74,1.269138433342806,3,3.9
medium,21874,1.5,0.78,False,True,0.18833569,0.371061,0.5436549560122784,2.3267,5.292408678854382e-11,4,11,True,0.9815361945340443,127,1.2871451931890128,4,218.3
fine,82356,1.5,0.7875,True,True,0.23036733,0.456412,0.646407912764633,1.38395,7.051394100143729e-12,3,18,True,0.9571280754287721,305,1.404249892446169,3,566.2
