level,m_inf,upwind_c,usable,gamma,m_max,x_shock,d_max_pct,d_mean_sup_pct,n_sup,nu_max,m_inf_max_q2,q2_is_lower_bound
medium,0.7875,1.5,False,0.26426167,1.40441,0.6737918216207359,3.6121,0.0228,7210,0.19882,0.7925,False
medium,0.7875,2.0,False,0.24540937,1.3868,0.6522321468406157,3.5914,0.0232,7153,0.26509,0.8,False
medium,0.7875,3.0,False,0.2241728,1.35936,0.6313978810646382,4.513,0.0288,7110,0.39764,0.86,True
medium,0.7875,4.0,True,0.21240536,1.34042,0.6231689640798821,4.659,0.02,7154,0.53018,0.86,True
