level,n_dof,m_inf,converged,clamped,usable,gamma,cl_p,x_shock,m_max,res_final,n_newton,wall_s
medium,21874,0.72,True,False,True,0.12656984,0.252842,0.3055162124894437,1.14088,1.91571627705007e-13,11,8.8
medium,21874,0.73,True,False,True,0.13164323,0.262865,0.34389410849442903,1.1707,1.2166605614880634e-11,12,1.3
medium,21874,0.74,True,False,True,0.13811796,0.275626,0.38350293544884184,1.20171,2.1500198792820918e-13,11,1.3
medium,21874,0.75,True,False,True,0.14665704,0.29241,0.43081897922249984,1.23441,1.9453540018497682e-13,13,1.6
medium,21874,0.76,True,False,True,0.15812157,0.314857,0.47322288114924993,1.2662,2.2592851939951573e-12,18,2.0
medium,21874,0.77,True,False,True,0.17422709,0.346312,0.5235974768348861,1.29904,3.0696349187209184e-13,24,2.3
medium,21874,0.78,True,False,True,0.19783513,0.392164,0.5731488998097293,1.33292,2.3967496216504584e-13,15,1.9
medium,21874,0.79,True,False,True,0.23455657,0.4637,0.6501926702250632,1.36841,1.5047589582715344e-12,28,3.0
medium,21874,0.8,False,False,False,0.29088746,0.570276,0.7029592988172566,1.86872,7.787613790063802e-06,80,8.8
medium,21874,0.7925,True,False,True,0.24594266,0.485746,0.6642615056860532,1.37772,4.026465664989376e-13,16,1.8
medium,21874,0.795,True,False,True,0.26014245,0.513287,0.6899324565072715,1.38788,5.889499067471701e-13,17,1.8
medium,21874,0.7975,True,False,True,0.27581335,0.543636,0.7108920001805356,1.39821,4.326155637200309e-13,19,2.0
medium,21874,0.8,True,False,True,0.2909574,0.572814,0.7312938155276103,1.40816,2.505421118585736e-13,16,1.8
medium,21874,0.8025,True,False,True,0.30800538,0.605638,0.7522486850348383,1.41734,2.375591594854316e-13,22,2.3
medium,21874,0.805,True,False,True,0.32555509,0.639308,0.7739133471188996,1.42707,2.951581816797582e-13,21,2.3
medium,21874,0.8075,True,False,True,0.34206344,0.670812,0.7997017964072316,1.43704,2.1073300698716908e-13,18,2.0
medium,21874,0.81,True,False,True,0.36001701,0.705016,0.8207059034641014,1.44925,9.23806063518496e-13,17,2.0
medium,21874,0.8125,True,False,True,0.37258146,0.728629,0.8397873966405316,1.45823,5.095458816809833e-11,19,2.0
medium,21874,0.815,True,False,True,0.38299645,0.747984,0.8525989246526328,1.46564,2.982312288168238e-13,19,2.0
medium,21874,0.8175,True,False,True,0.39584684,0.771988,0.8712614554028675,1.4742,2.395826009235819e-13,19,2.0
medium,21874,0.82,True,False,True,0.40577845,0.790267,0.8890198041346168,1.48105,2.558906778658493e-13,13,1.7
medium,21874,0.8225,True,False,True,0.4167416,0.810479,0.901811703635618,1.48815,2.0529293526348346e-12,17,1.9
medium,21874,0.825,True,False,True,0.42617229,0.827576,0.9184076413849209,1.49445,2.6225093197992055e-13,19,2.0
medium,21874,0.8275,True,False,True,0.4294118,0.832788,0.928238697630189,1.49838,3.0746194289962117e-13,9,1.1
medium,21874,0.83,True,False,True,0.43166402,0.836107,0.9322823989350619,1.50186,2.4374196544623604e-13,12,1.4
medium,21874,0.8325,True,False,True,0.43621285,0.843772,0.9423532489915962,1.50594,2.6167120039631496e-13,11,1.3
medium,21874,0.835,True,False,True,0.43948753,0.849,0.9519653740519869,1.50891,7.433063454377744e-11,12,1.5
medium,21874,0.8375,True,False,True,0.44099483,0.85079,0.9605228376548383,1.51192,1.967876074772721e-13,10,1.3
medium,21874,0.84,True,False,True,0.44153205,0.85069,0.9690076782698612,1.51457,5.561188804643245e-11,12,1.5
medium,21874,0.8425,True,False,True,0.44551126,0.857085,0.9782756146038996,1.51846,2.7620696356862986e-13,19,2.0
medium,21874,0.845,True,False,True,0.44037583,0.846198,0.9796577154914072,1.51973,2.332932509755964e-13,10,1.3
medium,21874,0.8475,True,False,True,0.43188841,0.828997,0.980484266864403,1.51811,2.398037666476387e-13,12,1.5
medium,21874,0.85,True,False,True,0.4228611,0.810697,0.9809508284628188,1.51807,1.3390812193936512e-12,7,0.9
medium,21874,0.8525,True,False,True,0.41338218,0.791539,0.9813525998985635,1.51798,2.222177118398171e-13,7,1.0
medium,21874,0.855,True,False,True,0.40342926,0.771479,0.9816176722423637,1.51778,2.447901131692906e-13,7,1.1
medium,21874,0.8575,True,False,True,0.3933403,0.751183,0.9818695465085867,1.5175,2.3327742520720563e-13,7,1.0
medium,21874,0.86,True,False,True,0.38302247,0.730456,0.9820960541041559,1.51731,2.904934447197076e-13,8,1.1
