level,n_dof,m_inf,C,converged,wall_s,x_shock_up,x_shock_lo,n_cells_up,cp_min_up,cl_p,gamma,m_max,n_limited,n_floored,res_final,error
coarse,6106,0.8,1.0,True,2.09,0.4583875799986684,0.46620899795295556,1,-0.86413,-0.007757,-0.00373767,1.2251,0,0,3.224745642610024e-13,
coarse,6106,0.8,1.5,True,1.91,0.4639597377203208,0.4791654575839294,1,-0.83669,-0.007069,-0.00339574,1.21115,0,0,4.0940771513211815e-13,
coarse,6106,0.8,2.0,True,1.87,0.4794551988782326,0.4832080957149653,1,-0.81469,-0.006576,-0.00315057,1.1995,0,0,4.009677944519794e-13,
coarse,6106,0.8,3.0,True,1.93,0.49888837421544346,0.50185250230035,1,-0.78259,-0.005923,-0.00282518,1.18079,0,0,4.326321995235268e-13,
coarse,6106,0.82,1.0,True,2.32,0.5420544563390763,0.5635809978370044,1,-0.87642,-0.019637,-0.00976547,1.28611,0,0,4.56427545245434e-13,
coarse,6106,0.82,1.5,True,2.25,0.5442726046184829,0.5625479940031897,1,-0.85282,-0.016473,-0.00816094,1.26753,0,0,1.6051982150295268e-12,
coarse,6106,0.82,2.0,True,2.22,0.5587415845212548,0.5646754684905092,1,-0.82929,-0.014454,-0.00713247,1.25056,0,0,3.1257727675273e-13,
coarse,6106,0.82,3.0,True,2.15,0.5788199428068777,0.5815352510862114,1,-0.7929,-0.012055,-0.00590523,1.22814,0,0,6.791857275186379e-11,
medium,21874,0.8,1.0,True,46.69,0.5028704438464583,0.5014264618130547,1,-0.90638,0.002641,0.00132751,1.24307,0,0,1.9108914501660202e-13,
medium,21874,0.8,1.5,True,13.91,0.5016035454218507,0.5006648840190748,1,-0.89119,0.002203,0.00111221,1.23448,0,0,2.9446251987516186e-13,
medium,21874,0.8,2.0,True,9.75,0.48467833344652705,0.4853418053221068,1,-0.98139,0.001741,0.00091715,1.30321,0,0,3.5692835832334064e-12,
medium,21874,0.8,3.0,True,9.12,0.4984500708422755,0.5016646754947256,2,-0.84925,0.001399,0.00072002,1.21224,0,0,2.2290456826909588e-13,
medium,21874,0.82,1.0,False,95.46,0.6048231090275852,0.6035268982321802,1,-1.20687,0.005609,0.00291961,1.70469,0,0,1.6181709540133235e-06,
medium,21874,0.82,1.5,True,41.43,0.6018171396186355,0.6011428258062699,1,-0.91451,0.004255,0.00218294,1.28924,0,0,2.076587777372181e-11,
medium,21874,0.82,2.0,True,17.04,0.5941460202328784,0.5943415629925527,1,-0.90003,0.003332,0.00171427,1.28044,0,0,2.3314186959451306e-13,
medium,21874,0.82,3.0,True,14.86,0.5931612041497087,0.5943031299547958,1,-0.86879,0.002275,0.00117489,1.26171,0,0,1.9278740203843053e-13,
