node,x_c,side,regime,region,F_delta,F_A,F_B,F_Psi,F_Ct1,F_Ct2,F_max
254,0.512990,1,turbulent,mid,-9.776088e-08,4.344821e-10,-1.840477e-07,9.828492e-09,1.274526e-09,3.754638e-22,1.840477e-07
255,0.503014,1,turbulent,mid,-9.769043e-08,4.815114e-10,-1.841850e-07,9.875538e-09,1.311048e-09,4.422151e-22,1.841850e-07
256,0.493036,1,turbulent,mid,-9.701367e-08,9.418191e-10,-1.831184e-07,1.043992e-08,1.353496e-09,5.221100e-22,1.831184e-07
257,0.483057,1,turbulent,mid,-9.650252e-08,1.381002e-09,-1.824219e-07,1.095780e-08,1.395118e-09,6.180315e-22,1.824219e-07
258,0.473076,1,turbulent,mid,-9.547432e-08,1.534241e-09,-1.806980e-07,1.140951e-08,1.434564e-09,7.338998e-22,1.806980e-07
259,0.463094,1,turbulent,mid,-9.481966e-08,1.407879e-09,-1.797404e-07,1.091543e-08,1.476771e-09,8.734542e-22,1.797404e-07
260,0.453111,1,turbulent,mid,-9.576438e-08,5.709813e-10,-1.818013e-07,9.684514e-09,1.510418e-09,1.042341e-21,1.818013e-07
261,0.443126,1,turbulent,mid,-9.507809e-08,1.156735e-09,-1.807095e-07,1.056723e-08,1.555465e-09,1.247604e-21,1.807095e-07
262,0.433140,1,turbulent,mid,-9.444593e-08,8.349843e-10,-1.798403e-07,1.006578e-08,1.595317e-09,1.497682e-21,1.798403e-07
263,0.423153,1,turbulent,mid,-9.415108e-08,6.046951e-10,-1.795708e-07,9.704551e-09,1.639334e-09,1.803722e-21,1.795708e-07
264,0.413165,1,turbulent,mid,-9.394633e-08,4.467115e-10,-1.795202e-07,9.226158e-09,1.684062e-09,2.179657e-21,1.795202e-07
265,0.403175,1,turbulent,mid,-9.381204e-08,6.499189e-10,-1.796099e-07,9.505529e-09,1.723449e-09,2.643336e-21,1.796099e-07
266,0.393184,1,turbulent,mid,-9.440879e-08,1.335905e-10,-1.811024e-07,8.819513e-09,1.760536e-09,3.215724e-21,1.811024e-07
267,0.383192,1,turbulent,mid,-9.301400e-08,8.539450e-10,-1.787019e-07,9.887361e-09,1.807556e-09,3.928196e-21,1.787019e-07
268,0.373199,1,turbulent,mid,-9.295735e-08,5.018860e-11,-1.790973e-07,8.386078e-09,1.849478e-09,4.816406e-21,1.790973e-07
269,0.363205,1,turbulent,mid,-9.281771e-08,6.219732e-10,-1.793231e-07,9.168800e-09,1.899304e-09,5.932925e-21,1.793231e-07
270,0.353210,1,turbulent,mid,-9.254234e-08,3.924781e-10,-1.793412e-07,8.793529e-09,1.937516e-09,7.342166e-21,1.793412e-07
271,0.343214,1,turbulent,mid,-9.183750e-08,8.539961e-10,-1.783833e-07,9.629919e-09,1.972792e-09,9.132562e-21,1.783833e-07
272,0.333217,1,turbulent,mid,-9.139606e-08,2.019210e-10,-1.781012e-07,8.520227e-09,2.007694e-09,1.141311e-20,1.781012e-07
273,0.323220,1,turbulent,mid,-9.188525e-08,-3.055362e-10,-1.797830e-07,7.490757e-09,2.047399e-09,1.434199e-20,1.797830e-07
274,0.313223,1,turbulent,mid,-9.251763e-08,-5.211149e-10,-1.818276e-07,7.177137e-09,2.077016e-09,1.813959e-20,1.818276e-07
275,0.303225,1,turbulent,mid,-9.257238e-08,-3.108960e-10,-1.826769e-07,7.657825e-09,2.102063e-09,2.310372e-20,1.826769e-07
276,0.293227,1,turbulent,mid,-9.242156e-08,-3.906782e-10,-1.832486e-07,7.682041e-09,2.122449e-09,2.964500e-20,1.832486e-07
277,0.283230,1,turbulent,mid,-9.180647e-08,-6.201857e-10,-1.829834e-07,7.525420e-09,2.131777e-09,3.836167e-20,1.829834e-07
278,0.273232,1,turbulent,mid,-9.265345e-08,-2.024394e-09,-1.858820e-07,5.517859e-09,2.133269e-09,5.004957e-20,1.858820e-07
279,0.263236,1,turbulent,mid,-9.508142e-08,-4.881823e-09,-1.921695e-07,2.078988e-09,2.116787e-09,6.590300e-20,1.921695e-07
280,0.253240,1,turbulent,mid,-9.715767e-08,-9.090160e-09,-1.978477e-07,-2.388667e-09,2.079441e-09,8.757291e-20,1.978477e-07
281,0.243246,1,turbulent,mid,-9.623396e-08,-1.646174e-08,-1.973071e-07,-1.017083e-08,2.025295e-09,1.168937e-19,1.973071e-07
282,0.233253,1,turbulent,mid,-7.894121e-08,-2.842026e-08,-1.618795e-07,-2.328796e-08,2.012877e-09,1.542287e-19,1.618795e-07
283,0.223263,1,turbulent,mid,-2.816711e-08,2.667222e-08,-3.835395e-08,3.848733e-08,2.511976e-09,1.638207e-19,3.848733e-08
284,0.213275,1,turbulent,mid,1.176005e-07,-1.668488e-08,2.800374e-07,-1.771513e-08,3.773269e-10,3.041802e-19,2.800374e-07
285,0.203291,1,turbulent,mid,-4.051143e-08,-5.245217e-08,-6.779083e-08,-5.623707e-08,2.819508e-09,3.933971e-19,6.779083e-08
286,0.193310,1,turbulent,mid,3.203929e-08,-9.782205e-08,1.234880e-07,-1.240864e-07,2.950634e-09,9.480282e-19,1.240864e-07
287,0.183335,1,turbulent,mid,-8.970851e-08,3.986150e-08,-2.202422e-07,4.055741e-08,-5.439648e-09,9.630142e-19,2.202422e-07
288,0.173365,1,turbulent,mid,-4.409772e-07,-1.524623e-07,-1.112458e-06,-1.827047e-07,-8.484472e-09,1.388097e-18,1.112458e-06
289,0.163402,1,turbulent,mid,9.861850e-08,3.341341e-08,3.325098e-07,1.141147e-08,1.524510e-08,6.727979e-19,3.325098e-07
290,0.153447,1,turbulent,mid,-2.204681e-07,1.548349e-07,-4.507882e-07,1.646865e-07,1.465278e-08,-2.024100e-19,4.507882e-07
291,0.143503,1,turbulent,mid,2.662275e-07,-2.032408e-07,8.612546e-07,-2.520870e-07,1.840434e-08,-2.155942e-18,8.612546e-07
292,0.133570,1,turbulent,mid,-4.260737e-07,3.160066e-07,-1.192243e-06,4.303158e-07,-1.225920e-08,-5.750164e-18,1.192243e-06
293,0.123651,1,turbulent,mid,1.014169e-07,-1.527543e-07,3.092806e-07,-1.656291e-07,1.941518e-08,-1.405679e-17,3.092806e-07
294,0.113749,1,turbulent,mid,-5.774337e-08,6.299243e-08,-1.634562e-07,5.362376e-08,3.660436e-09,-2.894697e-17,1.634562e-07
295,0.103869,1,turbulent,mid,-1.827499e-07,1.397771e-07,-4.496758e-07,1.744205e-07,3.777431e-10,-7.276308e-17,4.496758e-07
296,0.094014,1,turbulent,mid,-1.871043e-08,-4.785310e-08,-2.559931e-08,-6.163687e-08,1.709585e-09,-1.792224e-16,6.163687e-08
297,0.084190,1,turbulent,mid,7.282472e-08,-1.263741e-08,2.171866e-07,-1.255635e-08,4.838259e-09,-4.331546e-16,2.171866e-07
298,0.074407,1,turbulent,mid,5.770670e-08,3.402837e-08,2.096739e-07,4.728291e-08,6.316577e-09,-8.189717e-16,2.096739e-07
299,0.064676,1,turbulent,mid,2.606051e-07,-7.098352e-11,7.372758e-07,1.094570e-09,6.912413e-09,-6.803491e-16,7.372758e-07
300,0.055012,1,turbulent,mid,4.149733e-07,-1.686935e-08,1.217171e-06,-2.140539e-08,8.088335e-09,-2.974423e-14,1.217171e-06
301,0.045443,1,laminar,le_band,1.460435e-07,-2.691008e-09,4.664928e-07,-3.663440e-09,-4.355888e-17,-1.280494e-09,4.664928e-07
302,0.036008,1,laminar,le_band,-7.599816e-08,-3.541031e-09,-2.029213e-07,-7.256893e-09,0.000000e+00,-1.280494e-09,2.029213e-07
303,0.026778,1,laminar,le_band,2.999357e-09,4.951652e-10,-1.562980e-08,-5.508396e-09,0.000000e+00,-1.280494e-09,1.562980e-08
304,0.017890,1,inflow_pin,le_inflow,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
305,0.009657,1,inflow_pin,le_inflow,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
306,0.002928,1,inflow_pin,le_inflow,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
307,0.002928,-1,inflow_pin,le_inflow,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
308,0.009657,-1,inflow_pin,le_inflow,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
309,0.017890,-1,inflow_pin,le_inflow,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
310,0.026778,-1,laminar,le_band,1.239203e-07,-3.659656e-09,9.614157e-08,-1.744756e-08,0.000000e+00,-1.280494e-09,1.239203e-07
311,0.036008,-1,laminar,le_band,1.392472e-07,-9.685150e-09,1.470396e-07,-2.261128e-08,0.000000e+00,-1.280494e-09,1.470396e-07
312,0.045443,-1,laminar,le_band,1.919501e-07,-3.316582e-08,2.521242e-07,-4.079328e-08,0.000000e+00,-1.280494e-09,2.521242e-07
313,0.055012,-1,turbulent,mid,2.508090e-07,-1.230017e-07,4.693586e-07,-1.307311e-07,7.776644e-09,-2.512180e-14,4.693586e-07
314,0.064676,-1,turbulent,mid,1.609567e-07,1.287133e-07,2.635394e-07,1.172487e-07,-2.145859e-09,-3.671285e-15,2.635394e-07
315,0.074407,-1,turbulent,mid,6.612499e-08,2.722465e-07,9.920873e-08,2.877327e-07,-8.266509e-09,-3.431311e-15,2.877327e-07
316,0.084190,-1,turbulent,mid,7.340963e-08,-2.098429e-07,1.974215e-07,-1.704725e-07,-4.577158e-09,-9.654035e-16,2.098429e-07
317,0.094014,-1,turbulent,mid,1.673730e-07,-2.228814e-07,2.823733e-07,-1.506094e-07,-8.775585e-09,-5.169391e-16,2.823733e-07
318,0.103869,-1,turbulent,mid,3.375145e-07,-2.057917e-07,7.050661e-07,-1.842889e-07,2.037305e-08,-4.461394e-18,7.050661e-07
319,0.113749,-1,turbulent,mid,3.138725e-07,-4.956807e-08,6.822054e-07,-6.602074e-08,1.782839e-08,-4.960265e-17,6.822054e-07
320,0.123651,-1,turbulent,mid,-3.824470e-08,2.354918e-07,-3.778256e-08,2.184278e-07,1.758533e-08,-6.826530e-18,2.354918e-07
321,0.133570,-1,turbulent,mid,-3.404977e-07,3.291355e-07,-6.998071e-07,3.216209e-07,7.920225e-09,-1.834171e-18,6.998071e-07
322,0.143503,-1,turbulent,mid,2.056372e-07,-1.422969e-07,4.393363e-07,-1.532480e-07,6.533097e-09,1.836705e-18,4.393363e-07
323,0.153447,-1,turbulent,mid,1.245726e-07,5.436936e-08,2.482810e-07,5.485741e-08,3.264542e-09,5.068628e-18,2.482810e-07
324,0.163402,-1,turbulent,mid,-1.982069e-07,1.004842e-07,-5.148975e-07,1.062434e-07,-2.814484e-09,6.351065e-18,5.148975e-07
325,0.173365,-1,turbulent,mid,-4.744262e-07,-1.965310e-07,-9.775227e-07,-1.672506e-07,6.239702e-09,4.359223e-18,9.775227e-07
326,0.183335,-1,turbulent,mid,-4.692736e-08,-6.349979e-07,8.343536e-08,-5.912876e-07,2.202316e-08,3.370501e-18,6.349979e-07
327,0.193310,-1,turbulent,mid,6.382139e-07,1.380104e-07,1.390497e-06,1.490421e-07,5.346506e-09,2.017115e-18,1.390497e-06
328,0.203291,-1,turbulent,mid,4.675231e-07,1.855527e-07,1.057134e-06,1.938523e-07,6.486122e-09,1.523495e-18,1.057134e-06
329,0.213275,-1,turbulent,mid,6.445409e-08,-3.761842e-08,1.399993e-07,-4.429739e-08,2.648366e-09,8.691343e-19,1.399993e-07
