idx,sigma_rel_max,abs_align_over_Fnorm
0,1.0000000000000000e+00,2.20746203e-05
1,9.9999993719024505e-01,1.14009678e-06
2,9.9999992499253887e-01,4.48209344e-07
3,9.9999992348831379e-01,1.02130037e-07
4,9.9999992298204288e-01,6.67527375e-11
5,9.9999992254153192e-01,3.67057265e-08
6,9.9999992249124703e-01,2.22515827e-10
7,9.9999992247113267e-01,2.54000292e-11
8,9.9999992245590086e-01,3.21540299e-07
9,9.9999992245375635e-01,1.71687313e-12
10,9.9999992238548074e-01,2.98400401e-09
11,9.9999992238015456e-01,2.04604631e-12
12,9.9999992236896063e-01,1.52363676e-09
13,9.9999992236889090e-01,2.03009600e-10
14,9.9999992236888424e-01,3.20650950e-10
15,9.9999992236887936e-01,3.18806258e-11
16,9.9999992236887580e-01,5.23414408e-10
17,9.9999992236887558e-01,1.34248218e-18
18,9.9999992236887558e-01,5.86083188e-18
19,9.9999992236887536e-01,5.04314389e-19
20,9.9999992236887536e-01,8.86440026e-19
21,9.9999992236887536e-01,4.24092237e-19
22,9.9999992236887536e-01,1.49831901e-17
23,9.9999992236887536e-01,1.23580478e-17
24,9.9999992236887514e-01,4.23372693e-18
25,9.9999992236887514e-01,2.35933565e-17
26,9.9999992236887514e-01,2.35658267e-18
27,9.9999992236887514e-01,7.85201067e-12
28,9.9999992236887514e-01,2.70747517e-11
29,9.9999992236887514e-01,5.96458374e-10
30,9.9999992236887514e-01,4.23224412e-17
31,9.9999992236887514e-01,2.14536538e-17
32,9.9999992236887514e-01,2.02545783e-10
33,9.9999992236887492e-01,1.86675084e-18
34,9.9999992236887492e-01,1.18045759e-18
35,9.9999992236887492e-01,4.16504223e-19
36,9.9999992236887492e-01,2.01510216e-18
37,9.9999992236887492e-01,6.88737600e-18
38,9.9999992236887492e-01,1.61937145e-18
39,9.9999992236887492e-01,4.07261648e-18
40,9.9999992236887492e-01,2.97975658e-10
41,9.9999992236887469e-01,7.95556695e-19
42,9.9999992236887469e-01,8.09457694e-19
43,9.9999992236887469e-01,1.42027793e-18
