path,alpha,level,eta,side,x_over_c,cp
conforming,0.0,xcoarse_ss,0.20,upper,0.00000,0.272008
conforming,0.0,xcoarse_ss,0.20,upper,0.00038,0.273118
conforming,0.0,xcoarse_ss,0.20,upper,0.00075,0.274228
conforming,0.0,xcoarse_ss,0.20,upper,0.00113,0.275338
conforming,0.0,xcoarse_ss,0.20,upper,0.00150,0.276449
conforming,0.0,xcoarse_ss,0.20,upper,0.00188,0.277559
conforming,0.0,xcoarse_ss,0.20,upper,0.00226,0.278669
conforming,0.0,xcoarse_ss,0.20,upper,0.00263,0.279780
conforming,0.0,xcoarse_ss,0.20,upper,0.00301,0.280890
conforming,0.0,xcoarse_ss,0.20,upper,0.00338,0.282000
conforming,0.0,xcoarse_ss,0.20,upper,0.00376,0.283110
conforming,0.0,xcoarse_ss,0.20,upper,0.00414,0.284221
conforming,0.0,xcoarse_ss,0.20,upper,0.00451,0.285331
conforming,0.0,xcoarse_ss,0.20,upper,0.00489,0.286441
conforming,0.0,xcoarse_ss,0.20,upper,0.00526,0.287551
conforming,0.0,xcoarse_ss,0.20,upper,0.00564,0.288662
conforming,0.0,xcoarse_ss,0.20,upper,0.00602,0.289772
conforming,0.0,xcoarse_ss,0.20,upper,0.00639,0.290882
conforming,0.0,xcoarse_ss,0.20,upper,0.00677,0.291993
conforming,0.0,xcoarse_ss,0.20,upper,0.00714,0.293103
conforming,0.0,xcoarse_ss,0.20,upper,0.00752,0.294213
conforming,0.0,xcoarse_ss,0.20,upper,0.00789,0.295323
conforming,0.0,xcoarse_ss,0.20,upper,0.00827,0.296434
conforming,0.0,xcoarse_ss,0.20,upper,0.00865,0.297544
conforming,0.0,xcoarse_ss,0.20,upper,0.00902,0.298654
conforming,0.0,xcoarse_ss,0.20,upper,0.00940,0.299764
conforming,0.0,xcoarse_ss,0.20,upper,0.00977,0.300875
conforming,0.0,xcoarse_ss,0.20,upper,0.01015,0.301985
conforming,0.0,xcoarse_ss,0.20,upper,0.01053,0.303095
conforming,0.0,xcoarse_ss,0.20,upper,0.01090,0.304206
conforming,0.0,xcoarse_ss,0.20,upper,0.01128,0.305316
conforming,0.0,xcoarse_ss,0.20,upper,0.01165,0.306426
conforming,0.0,xcoarse_ss,0.20,upper,0.01203,0.307536
conforming,0.0,xcoarse_ss,0.20,upper,0.01241,0.308647
conforming,0.0,xcoarse_ss,0.20,upper,0.01278,0.309757
conforming,0.0,xcoarse_ss,0.20,upper,0.01316,0.310867
conforming,0.0,xcoarse_ss,0.20,upper,0.01353,0.311977
conforming,0.0,xcoarse_ss,0.20,upper,0.01391,0.313088
conforming,0.0,xcoarse_ss,0.20,upper,0.01429,0.314198
conforming,0.0,xcoarse_ss,0.20,upper,0.01466,0.315308
conforming,0.0,xcoarse_ss,0.20,upper,0.01504,0.316419
conforming,0.0,xcoarse_ss,0.20,upper,0.01541,0.317529
conforming,0.0,xcoarse_ss,0.20,upper,0.01579,0.318639
conforming,0.0,xcoarse_ss,0.20,upper,0.01617,0.319749
conforming,0.0,xcoarse_ss,0.20,upper,0.01654,0.320860
conforming,0.0,xcoarse_ss,0.20,upper,0.01692,0.321970
conforming,0.0,xcoarse_ss,0.20,upper,0.01729,0.323080
conforming,0.0,xcoarse_ss,0.20,upper,0.01767,0.324191
conforming,0.0,xcoarse_ss,0.20,upper,0.01805,0.325028
conforming,0.0,xcoarse_ss,0.20,upper,0.01842,0.316546
conforming,0.0,xcoarse_ss,0.20,upper,0.01880,0.308065
conforming,0.0,xcoarse_ss,0.20,upper,0.01917,0.299584
conforming,0.0,xcoarse_ss,0.20,upper,0.01955,0.291102
conforming,0.0,xcoarse_ss,0.20,upper,0.01992,0.284627
conforming,0.0,xcoarse_ss,0.20,upper,0.02030,0.278776
conforming,0.0,xcoarse_ss,0.20,upper,0.02068,0.272926
conforming,0.0,xcoarse_ss,0.20,upper,0.02105,0.267075
conforming,0.0,xcoarse_ss,0.20,upper,0.02143,0.261224
conforming,0.0,xcoarse_ss,0.20,upper,0.02180,0.255374
conforming,0.0,xcoarse_ss,0.20,upper,0.02218,0.249523
conforming,0.0,xcoarse_ss,0.20,upper,0.02256,0.243672
conforming,0.0,xcoarse_ss,0.20,upper,0.02293,0.237821
conforming,0.0,xcoarse_ss,0.20,upper,0.02331,0.231971
conforming,0.0,xcoarse_ss,0.20,upper,0.02368,0.226120
conforming,0.0,xcoarse_ss,0.20,upper,0.02406,0.220269
conforming,0.0,xcoarse_ss,0.20,upper,0.02444,0.214418
conforming,0.0,xcoarse_ss,0.20,upper,0.02481,0.208568
conforming,0.0,xcoarse_ss,0.20,upper,0.02519,0.202717
conforming,0.0,xcoarse_ss,0.20,upper,0.02556,0.196866
conforming,0.0,xcoarse_ss,0.20,upper,0.02594,0.191015
conforming,0.0,xcoarse_ss,0.20,upper,0.02632,0.185165
conforming,0.0,xcoarse_ss,0.20,upper,0.02669,0.179314
conforming,0.0,xcoarse_ss,0.20,upper,0.02707,0.173463
conforming,0.0,xcoarse_ss,0.20,upper,0.02744,0.167613
conforming,0.0,xcoarse_ss,0.20,upper,0.02782,0.161762
conforming,0.0,xcoarse_ss,0.20,upper,0.02820,0.155911
conforming,0.0,xcoarse_ss,0.20,upper,0.02857,0.150060
conforming,0.0,xcoarse_ss,0.20,upper,0.02895,0.144210
conforming,0.0,xcoarse_ss,0.20,upper,0.02932,0.138359
conforming,0.0,xcoarse_ss,0.20,upper,0.02970,0.132508
conforming,0.0,xcoarse_ss,0.20,upper,0.03008,0.126657
conforming,0.0,xcoarse_ss,0.20,upper,0.03045,0.120807
conforming,0.0,xcoarse_ss,0.20,upper,0.03083,0.114956
conforming,0.0,xcoarse_ss,0.20,upper,0.03120,0.109105
conforming,0.0,xcoarse_ss,0.20,upper,0.03158,0.103254
conforming,0.0,xcoarse_ss,0.20,upper,0.03195,0.097404
conforming,0.0,xcoarse_ss,0.20,upper,0.03233,0.091553
conforming,0.0,xcoarse_ss,0.20,upper,0.03271,0.085702
conforming,0.0,xcoarse_ss,0.20,upper,0.03308,0.079852
conforming,0.0,xcoarse_ss,0.20,upper,0.03346,0.074001
conforming,0.0,xcoarse_ss,0.20,upper,0.03383,0.068150
conforming,0.0,xcoarse_ss,0.20,upper,0.03421,0.062299
conforming,0.0,xcoarse_ss,0.20,upper,0.03459,0.056449
conforming,0.0,xcoarse_ss,0.20,upper,0.03496,0.050598
conforming,0.0,xcoarse_ss,0.20,upper,0.03534,0.044747
conforming,0.0,xcoarse_ss,0.20,upper,0.03571,0.038896
conforming,0.0,xcoarse_ss,0.20,upper,0.03609,0.033046
conforming,0.0,xcoarse_ss,0.20,upper,0.03647,0.027195
conforming,0.0,xcoarse_ss,0.20,upper,0.03684,0.021344
conforming,0.0,xcoarse_ss,0.20,upper,0.03722,0.015493
conforming,0.0,xcoarse_ss,0.20,upper,0.03759,0.009643
conforming,0.0,xcoarse_ss,0.20,upper,0.03797,0.003792
conforming,0.0,xcoarse_ss,0.20,upper,0.03835,-0.002059
conforming,0.0,xcoarse_ss,0.20,upper,0.03872,-0.007909
conforming,0.0,xcoarse_ss,0.20,upper,0.03910,-0.013760
conforming,0.0,xcoarse_ss,0.20,upper,0.03947,-0.019611
conforming,0.0,xcoarse_ss,0.20,upper,0.03985,-0.025462
conforming,0.0,xcoarse_ss,0.20,upper,0.04023,-0.031312
conforming,0.0,xcoarse_ss,0.20,upper,0.04060,-0.037163
conforming,0.0,xcoarse_ss,0.20,upper,0.04098,-0.043014
conforming,0.0,xcoarse_ss,0.20,upper,0.04135,-0.048865
conforming,0.0,xcoarse_ss,0.20,upper,0.04173,-0.054715
