level,z,gamma_cached,gamma_smooth_in,target_back_probe,target_back_control
medium,0.19458,0.092530,0.094055,0.093021,0.092990
medium,0.20179,0.092286,0.094431,0.093100,0.092783
medium,0.20899,0.096782,0.094731,0.096939,0.097322
medium,0.21620,0.097093,0.094949,0.097123,0.097670
medium,0.22341,0.092581,0.095076,0.093794,0.093128
medium,0.23061,0.094929,0.095101,0.095887,0.095463
medium,0.23782,0.092253,0.095021,0.092991,0.092760
medium,0.24503,0.096623,0.094833,0.096645,0.097115
medium,0.25223,0.097110,0.094554,0.096729,0.097585
medium,0.25944,0.095119,0.094209,0.094746,0.095583
medium,0.26665,0.094226,0.093819,0.094688,0.094652
medium,0.27385,0.091881,0.093396,0.092566,0.092301
medium,0.28106,0.090998,0.092940,0.091942,0.091410
medium,0.28827,0.092871,0.092467,0.093213,0.093276
medium,0.29547,0.092871,0.092047,0.093213,0.093276
medium,0.30268,0.090434,0.091780,0.091049,0.090821
medium,0.30988,0.092629,0.091712,0.092895,0.093002
medium,0.31709,0.092629,0.091789,0.092895,0.093002
medium,0.32430,0.089880,0.091890,0.090617,0.090244
medium,0.33150,0.091617,0.091902,0.092467,0.091979
medium,0.33871,0.092216,0.091786,0.092649,0.092573
medium,0.34592,0.092316,0.091576,0.092310,0.092671
medium,0.35312,0.092318,0.091330,0.092176,0.092677
medium,0.36033,0.094178,0.091102,0.094054,0.094540
medium,0.36754,0.089747,0.090911,0.090094,0.090110
medium,0.37474,0.087743,0.090751,0.088982,0.088121
medium,0.38195,0.089570,0.090611,0.090898,0.089950
medium,0.38916,0.090247,0.090504,0.091077,0.090626
medium,0.39636,0.090855,0.090455,0.091353,0.091230
medium,0.40357,0.091160,0.090484,0.091258,0.091513
medium,0.41078,0.091160,0.090572,0.091258,0.091513
medium,0.41798,0.091122,0.090655,0.091223,0.091456
medium,0.42519,0.090984,0.090660,0.091183,0.091317
medium,0.43240,0.090882,0.090535,0.091206,0.091214
medium,0.43960,0.088824,0.090277,0.089181,0.089155
medium,0.44681,0.090730,0.089951,0.091074,0.091058
medium,0.45402,0.090744,0.089655,0.090836,0.091070
medium,0.46122,0.088194,0.089458,0.088624,0.088499
medium,0.46843,0.089900,0.089376,0.090453,0.090197
medium,0.47564,0.087544,0.089384,0.088216,0.087809
medium,0.48284,0.089825,0.089432,0.090063,0.090053
medium,0.49005,0.089825,0.089483,0.090063,0.090053
medium,0.49726,0.087680,0.089525,0.088076,0.087868
medium,0.50446,0.092065,0.089570,0.092010,0.092223
medium,0.51167,0.090832,0.089646,0.090565,0.090957
medium,0.51888,0.090559,0.089772,0.090696,0.090677
medium,0.52608,0.088445,0.089956,0.088790,0.088557
medium,0.53329,0.090070,0.090199,0.090703,0.090188
medium,0.54050,0.087395,0.090499,0.088293,0.087528
medium,0.54770,0.091930,0.090828,0.092440,0.092069
medium,0.55491,0.090327,0.091143,0.090618,0.090468
medium,0.56212,0.092968,0.091396,0.092876,0.093099
medium,0.56932,0.091032,0.091550,0.090824,0.091146
medium,0.57653,0.093092,0.091582,0.092744,0.093215
medium,0.58374,0.092674,0.091467,0.092351,0.092827
medium,0.59094,0.092163,0.091186,0.092089,0.092342
medium,0.59815,0.090162,0.090741,0.090216,0.090354
medium,0.60536,0.088461,0.090163,0.089292,0.088715
medium,0.61256,0.088461,0.089522,0.089292,0.088715
medium,0.61977,0.088387,0.088905,0.088994,0.088652
medium,0.62698,0.090141,0.088387,0.090275,0.090411
medium,0.63418,0.088433,0.088014,0.088424,0.088704
medium,0.64139,0.088209,0.087789,0.088341,0.088483
medium,0.64860,0.085426,0.087661,0.086178,0.085729
medium,0.65580,0.087369,0.087548,0.088012,0.087676
medium,0.66301,0.086298,0.087386,0.086653,0.086620
medium,0.67022,0.088269,0.087148,0.088486,0.088595
medium,0.67742,0.088468,0.086829,0.088479,0.088809
medium,0.68463,0.085993,0.086416,0.086212,0.086346
medium,0.69184,0.085993,0.085882,0.086212,0.086346
medium,0.69904,0.086974,0.085205,0.087025,0.087332
medium,0.70625,0.083529,0.084398,0.083950,0.083879
medium,0.71346,0.082715,0.083510,0.083150,0.083062
medium,0.72066,0.082481,0.082621,0.082453,0.082829
medium,0.72787,0.083931,0.081809,0.084241,0.084273
medium,0.73508,0.078354,0.081123,0.079109,0.078688
medium,0.74228,0.079835,0.080580,0.080810,0.080164
medium,0.74949,0.080086,0.080168,0.080676,0.080410
medium,0.75670,0.080218,0.079844,0.080561,0.080531
medium,0.76390,0.079567,0.079535,0.079759,0.079850
medium,0.77111,0.079567,0.079161,0.079759,0.079850
medium,0.77832,0.079112,0.078673,0.079198,0.079386
medium,0.78552,0.078283,0.078088,0.078304,0.078541
medium,0.79273,0.078283,0.077465,0.078304,0.078541
medium,0.79994,0.077850,0.076859,0.077773,0.078104
medium,0.80714,0.076984,0.076300,0.077026,0.077235
medium,0.81435,0.073169,0.075792,0.074184,0.073420
medium,0.82156,0.072712,0.075305,0.073754,0.072962
medium,0.82876,0.074270,0.074785,0.074663,0.074518
medium,0.83597,0.074223,0.074187,0.073995,0.074467
medium,0.84318,0.076139,0.073485,0.075621,0.076377
medium,0.85038,0.075743,0.072684,0.075166,0.075972
medium,0.85759,0.072067,0.071811,0.072208,0.072278
medium,0.86480,0.069737,0.070889,0.069929,0.069943
medium,0.87200,0.070786,0.069947,0.071116,0.070986
medium,0.87921,0.067587,0.069039,0.068137,0.067769
medium,0.88642,0.066714,0.068247,0.067474,0.066881
medium,0.89362,0.066062,0.067650,0.066832,0.066215
medium,0.90083,0.065797,0.067264,0.066328,0.065936
medium,0.90803,0.067652,0.067026,0.067460,0.067770
medium,0.91524,0.069477,0.066839,0.069108,0.069590
medium,0.92245,0.066721,0.066599,0.066609,0.066819
medium,0.92965,0.066187,0.066222,0.066031,0.066283
medium,0.93686,0.066187,0.065665,0.066031,0.066283
medium,0.94407,0.067387,0.064931,0.066951,0.067480
medium,0.95127,0.062615,0.064045,0.062574,0.062706
medium,0.95848,0.062587,0.063061,0.063259,0.062667
medium,0.96569,0.060083,0.062059,0.060658,0.060165
medium,0.97289,0.061300,0.061115,0.061842,0.061384
medium,0.98010,0.062167,0.060277,0.062401,0.062276
medium,0.98731,0.057723,0.059555,0.058100,0.057853
medium,0.99451,0.058384,0.058931,0.058492,0.058549
medium,1.00172,0.059988,0.058376,0.060184,0.060172
medium,1.00893,0.056851,0.057833,0.057460,0.057078
medium,1.01613,0.056220,0.057213,0.056619,0.056446
medium,1.02334,0.057859,0.056442,0.058037,0.058082
medium,1.03055,0.055755,0.055504,0.055731,0.055979
medium,1.03775,0.054806,0.054423,0.054852,0.055022
medium,1.04496,0.053702,0.053231,0.053696,0.053912
medium,1.05217,0.052678,0.051965,0.052653,0.052877
medium,1.05937,0.051377,0.050683,0.051392,0.051568
medium,1.06658,0.048228,0.049463,0.048994,0.048413
medium,1.07379,0.046943,0.048359,0.047808,0.047123
medium,1.08099,0.044626,0.047358,0.045311,0.044804
medium,1.08820,0.047364,0.046388,0.047703,0.047533
medium,1.09541,0.046273,0.045348,0.046415,0.046434
medium,1.10261,0.042751,0.044143,0.042965,0.042901
medium,1.10982,0.043885,0.042721,0.043759,0.044030
medium,1.11703,0.042852,0.041079,0.042230,0.042990
medium,1.12423,0.041971,0.039232,0.041016,0.042101
medium,1.13144,0.039174,0.037175,0.038324,0.039301
medium,1.13865,0.030732,0.034895,0.031983,0.030859
medium,1.14585,0.030890,0.032394,0.032285,0.031014
medium,1.15306,0.027032,0.029725,0.028046,0.027150
medium,1.16027,0.028218,0.026974,0.028519,0.028329
medium,1.16747,0.025949,0.024252,0.025740,0.026055
medium,1.17468,0.022935,0.021641,0.022640,0.023022
medium,1.18189,0.018996,0.019070,0.018920,0.019068
medium,1.18909,0.015136,0.016143,0.015222,0.015199
