leg,m_census,converged,accept_reason,res,n_newton,n_limited,n_floored,mask_lim,mask_flr,self_check,n_climb,mmax,pk_x,pk_y,pk_z,corr_mmax,corr_x,corr_z,cl_p,gamma,step_nlim_min,step_nlim_max,step_nlim_last,step_nlim_range,step_nflr_min,step_nflr_max,step_nflr_last,step_nflr_range,wall_s
LS,0.7875,False,None,1.0835776720341528e-13,80,5,1,5,1,True,1,3.983667706019492,1.1394925183472542,-0.000279218252739972,1.1979763453618406,1.1157466807590626,2.3984837301134325,0.02387784830621239,0.2544835242082766,0.0775769424053849,5.0,5.0,5.0,0.0,3.0,3.0,3.0,0.0,556.6456231903285
CONF,0.83,False,None,8.08213426516105e-06,80,0,1,0,2,True,4,2.6591156349403264,1.1384703887714083,0.00047320983747886527,1.19738819170734,1.157072901367236,2.399881755112713,0.005645460560311569,0.2722008319795038,0.08380026309313882,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,502.8056666068733
