leg,level,m_inf,n_pool,n_sup,occupancy,pv,pv_p5,pv_p50,pv_p95,n_comp,comp_p5,comp_p50,comp_p95,frac_max,frac_p5,frac_p50,frac_p95,x_lo,x_hi,y_max
DIRTY a0 M0.84,medium,0.84,6652,2146,0.3226,0.7456,2.9086,2.9473,2.9833,2,999.95,1037.0,1073.05,0.9995,0.007,0.0089,0.0135,0.8,1.0984,1.3185
DIRTY C1.0 a1.25,medium,0.8,6652,787,0.1183,1.3215,3.5704,3.6137,3.6621,34,617.95,635.5,654.05,0.6544,0.0051,0.0076,0.0102,0.8,1.2,1.9554
