step,gamma_mean,residual
0,0.064219,1.257e-02
1,0.064204,1.597e-03
2,0.064201,4.505e-04
3,0.064202,3.503e-04
4,0.064200,2.473e-04
5,0.064201,1.202e-04
6,0.064201,3.317e-05
7,0.064201,3.250e-05
8,0.064201,5.554e-07
9,0.064201,1.105e-07
10,0.064201,2.144e-08
11,0.064201,4.160e-09
12,0.064201,8.076e-10
13,0.064201,1.566e-10
14,0.064201,3.041e-11
15,0.064201,5.976e-12
16,0.064201,1.080e-12
17,0.064201,3.584e-13
18,0.064201,1.792e-13
19,0.064201,1.212e-13
20,0.064201,1.272e-13
21,0.064201,1.091e-13
22,0.064201,1.572e-13
23,0.064201,1.545e-13
24,0.064201,1.661e-13
25,0.064201,1.501e-13
26,0.064201,1.009e-13
27,0.064201,1.177e-13
28,0.064201,1.177e-13
29,0.064201,1.161e-13
30,0.064201,1.206e-13
31,0.064201,1.165e-13
32,0.064201,1.144e-13
33,0.064201,1.237e-13
34,0.064201,1.230e-13
35,0.064201,1.634e-13
36,0.064201,1.368e-13
37,0.064201,1.283e-13
38,0.064201,9.948e-14
39,0.064201,1.146e-13
