VARIABLES = "X","Cp"
ZONE T = "RAE2822_M0.73_AoA3.19_Rec6.5e6"
0.9937  0.1347
0.9875  0.1232
0.9750  0.1012
0.9500  0.0570
0.9250  0.0114
0.9000 -0.0325
0.8750 -0.0760
0.8500 -0.1226
0.8250 -0.1654
0.8000 -0.2103
0.7750 -0.2535
0.7500 -0.2983
0.7000 -0.3915
0.6500 -0.4949
0.6196 -0.5681
0.6000 -0.6338
0.5750 -0.7552
0.5500 -1.1249
0.5250 -1.3097
0.5000 -1.2853
0.4750 -1.2593
0.4500 -1.2420
0.4250 -1.2290
0.4000 -1.2085
0.3750 -1.1917
0.3500 -1.1727
0.3000 -1.1535
0.2500 -1.1110
0.2208 -1.0890
0.2000 -1.0834
0.1500 -1.0981
0.1000 -1.1123
0.0500 -1.1973
0.0375 -1.1741
0.0187 -1.0439
0.0104 -0.8572
0.0060 -0.6827
0.0036 -0.4609
0.0015 -0.1075
0.0002  0.3761
0.0000  0.7963
0.0002  1.0157
0.0015  1.1315
0.0036  1.0944
0.0060  0.9971
0.0087  0.8967
0.0125  0.7849
0.0186  0.6501
0.0375  0.4393
0.0625  0.2776
0.1500  0.0203
0.2000 -0.0641
0.2500 -0.1462
0.3000 -0.2246
0.3500 -0.2960
0.4000 -0.3187
0.4500 -0.2673
0.5000 -0.1836
0.5500 -0.0971
0.6000 -0.0108
0.6500  0.0594
0.7000  0.1200
0.7500  0.1786
0.8000  0.2281
0.8500  0.2657
0.9000  0.2917
0.9500  0.2922
