alpha_deg,gamma_m0,gamma_m3,gamma_conforming,cl_p_m0,cl_p_m3,cl_p_conforming
0,-0.000389,-0.000415,0.000490,-0.000817,-0.001249,0.000955
4,0.238442,0.233945,0.239323,0.477045,0.467397,0.478576
